terme_fr;langue;terme_traduit;fournisseur;type;date
léger;en;light;glossaire;adjectif;2025-12-12 20:56:57
légère;en;slight;glossaire;adjectif;2025-12-12 20:56:57
légers;en;light;glossaire;adjectif;2025-12-12 20:56:57
légères;en;slight;glossaire;adjectif;2025-12-12 20:56:57
subdivision;en;subdivision;glossaire;adjectif;2025-12-12 20:56:57
unilatéral;en;unilateral;glossaire;adjectif;2025-12-12 20:56:57
unilatérale;en;unilateral;glossaire;adjectif;2025-12-12 20:56:57
unilatéraux;en;unilateral;glossaire;adjectif;2025-12-12 20:56:57
unilatérales;en;unilateral;glossaire;adjectif;2025-12-12 20:56:57
asymétrique;en;asymmetrical;glossaire;adjectif;2025-12-12 20:56:57
asymétriques;en;asymmetric;glossaire;adjectif;2025-12-12 20:56:57
rétrognathie mandibulaire;en;mandibular retrognathia;deepl;tag;2025-12-12 20:56:57
Rétromandibulisme;en;Retromandibulism;deepl;tag;2025-12-12 20:56:57
Rétromandibulismes;en;Retromandibulisms;deepl;tag;2025-12-12 20:56:57
rétromandibulaire;en;retromandibular;deepl;tag;2025-12-12 20:56:57
rétromandibulaires;en;retromandibular;deepl;tag;2025-12-12 20:56:57
mandibule en arrière;en;mandible backwards;deepl;tag;2025-12-12 20:56:57
mandibules ens arrières;en;mandibles ens arrières;deepl;tag;2025-12-12 20:56:57
mandibule reculée;en;receded mandible;deepl;tag;2025-12-12 20:56:57
mandibules reculées;en;retracted mandibles;deepl;tag;2025-12-12 20:56:57
mandibule en retrait;en;recessed mandible;deepl;tag;2025-12-12 20:56:57
mandibules ens retraits;en;mandibles ens retractions;deepl;tag;2025-12-12 20:56:57
sévère;en;severe;glossaire;adjectif;2025-12-12 20:56:57
sévères;en;severe;glossaire;adjectif;2025-12-12 20:56:57
grave;en;serious;glossaire;adjectif;2025-12-12 20:56:57
graves;en;serious;glossaire;adjectif;2025-12-12 20:56:57
marqué;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquée;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marqués;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquées;en;marked;glossaire;adjectif;2025-12-12 20:56:57
important;en;important;glossaire;adjectif;2025-12-12 20:56:57
importante;en;important;glossaire;adjectif;2025-12-12 20:56:57
importants;en;important;glossaire;adjectif;2025-12-12 20:56:57
importantes;en;important;glossaire;adjectif;2025-12-12 20:56:57
majeur;en;major;deepl;adjectif;2025-12-12 20:56:57
majeuse;en;major;deepl;adjectif;2025-12-12 20:56:57
majeurs;en;major;deepl;adjectif;2025-12-12 20:56:57
majeuses;en;Major;deepl;adjectif;2025-12-12 20:56:57
complexe;en;complex;deepl;adjectif;2025-12-12 20:56:57
complexes;en;complexes;deepl;adjectif;2025-12-12 20:56:57
modéré;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérée;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérés;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérées;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
léger;en;light;glossaire;adjectif;2025-12-12 20:56:57
légère;en;slight;glossaire;adjectif;2025-12-12 20:56:57
légers;en;light;glossaire;adjectif;2025-12-12 20:56:57
légères;en;slight;glossaire;adjectif;2025-12-12 20:56:57
bénin;en;benin;deepl;adjectif;2025-12-12 20:56:57
bénigne;en;benign;deepl;adjectif;2025-12-12 20:56:57
bénins;en;benign;deepl;adjectif;2025-12-12 20:56:57
bénignes;en;benign;deepl;adjectif;2025-12-12 20:56:57
rétrognathie maxillaire;en;maxillary retrognathia;deepl;tag;2025-12-12 20:56:57
rétromaxillaire;en;retromaxillary;deepl;tag;2025-12-12 20:56:57
rétromaxillaires;en;retromaxillary;deepl;tag;2025-12-12 20:56:57
maxillaire en arrière;en;maxilla backwards;deepl;tag;2025-12-12 20:56:57
maxillaires ens arrières;en;maxillary ens posterior;deepl;tag;2025-12-12 20:56:57
maxillaire reculé;en;receded maxilla;deepl;tag;2025-12-12 20:56:57
maxillaires reculés;en;set-back jaws;deepl;tag;2025-12-12 20:56:57
maxillaire en retrait;en;recessed maxilla;deepl;tag;2025-12-12 20:56:57
maxillaires ens retraits;en;recessed jaws;deepl;tag;2025-12-12 20:56:57
sévère;en;severe;glossaire;adjectif;2025-12-12 20:56:57
sévères;en;severe;glossaire;adjectif;2025-12-12 20:56:57
grave;en;serious;glossaire;adjectif;2025-12-12 20:56:57
graves;en;serious;glossaire;adjectif;2025-12-12 20:56:57
marqué;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquée;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marqués;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquées;en;marked;glossaire;adjectif;2025-12-12 20:56:57
important;en;important;glossaire;adjectif;2025-12-12 20:56:57
importante;en;important;glossaire;adjectif;2025-12-12 20:56:57
importants;en;important;glossaire;adjectif;2025-12-12 20:56:57
importantes;en;important;glossaire;adjectif;2025-12-12 20:56:57
majeur;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeuse;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeurs;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeuses;en;Major;glossaire;adjectif;2025-12-12 20:56:57
complexe;en;complex;glossaire;adjectif;2025-12-12 20:56:57
complexes;en;complexes;glossaire;adjectif;2025-12-12 20:56:57
modéré;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérée;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérés;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérées;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
léger;en;light;glossaire;adjectif;2025-12-12 20:56:57
légère;en;slight;glossaire;adjectif;2025-12-12 20:56:57
légers;en;light;glossaire;adjectif;2025-12-12 20:56:57
légères;en;slight;glossaire;adjectif;2025-12-12 20:56:57
bénin;en;benin;glossaire;adjectif;2025-12-12 20:56:57
bénigne;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénins;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénignes;en;benign;glossaire;adjectif;2025-12-12 20:56:57
Prognathisme mandibulaire;en;Overshot mandible;deepl;tag;2025-12-12 20:56:57
prognathie mandibulaire;en;mandibular prognathia;deepl;tag;2025-12-12 20:56:57
prognathies mandibulaires;en;mandibular prognathia;deepl;tag;2025-12-12 20:56:57
mandibule en avant;en;mandible forward;deepl;tag;2025-12-12 20:56:57
mandibules ens avants;en;front mandibles;deepl;tag;2025-12-12 20:56:57
mandibule avancée;en;advanced mandible;deepl;tag;2025-12-12 20:56:57
mandibules avancées;en;advanced mandibles;deepl;tag;2025-12-12 20:56:57
mandibule proéminente;en;prominent mandible;deepl;tag;2025-12-12 20:56:57
mandibules proéminentes;en;prominent mandibles;deepl;tag;2025-12-12 20:56:57
sévère;en;severe;glossaire;adjectif;2025-12-12 20:56:57
sévères;en;severe;glossaire;adjectif;2025-12-12 20:56:57
grave;en;serious;glossaire;adjectif;2025-12-12 20:56:57
graves;en;serious;glossaire;adjectif;2025-12-12 20:56:57
marqué;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquée;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marqués;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquées;en;marked;glossaire;adjectif;2025-12-12 20:56:57
important;en;important;glossaire;adjectif;2025-12-12 20:56:57
importante;en;important;glossaire;adjectif;2025-12-12 20:56:57
importants;en;important;glossaire;adjectif;2025-12-12 20:56:57
importantes;en;important;glossaire;adjectif;2025-12-12 20:56:57
majeur;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeuse;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeurs;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeuses;en;Major;glossaire;adjectif;2025-12-12 20:56:57
complexe;en;complex;glossaire;adjectif;2025-12-12 20:56:57
complexes;en;complexes;glossaire;adjectif;2025-12-12 20:56:57
modéré;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérée;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérés;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérées;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
léger;en;light;glossaire;adjectif;2025-12-12 20:56:57
légère;en;slight;glossaire;adjectif;2025-12-12 20:56:57
légers;en;light;glossaire;adjectif;2025-12-12 20:56:57
légères;en;slight;glossaire;adjectif;2025-12-12 20:56:57
bénin;en;benin;glossaire;adjectif;2025-12-12 20:56:57
bénigne;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénins;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénignes;en;benign;glossaire;adjectif;2025-12-12 20:56:57
Prognathisme maxillaire;en;Overshot mouth;deepl;tag;2025-12-12 20:56:57
prognathie maxillaire;en;maxillary prognathia;deepl;tag;2025-12-12 20:56:57
prognathies maxillaires;en;maxillary prognathia;deepl;tag;2025-12-12 20:56:57
maxillaire en avant;en;maxilla forward;deepl;tag;2025-12-12 20:56:57
maxillaires ens avants;en;maxillae ens avants;deepl;tag;2025-12-12 20:56:57
maxillaire avancé;en;advanced maxilla;deepl;tag;2025-12-12 20:56:57
maxillaires avancés;en;advanced maxillae;deepl;tag;2025-12-12 20:56:57
maxillaire proéminent;en;prominent maxilla;deepl;tag;2025-12-12 20:56:57
maxillaires proéminents;en;prominent jaws;deepl;tag;2025-12-12 20:56:57
sévère;en;severe;glossaire;adjectif;2025-12-12 20:56:57
sévères;en;severe;glossaire;adjectif;2025-12-12 20:56:57
grave;en;serious;glossaire;adjectif;2025-12-12 20:56:57
graves;en;serious;glossaire;adjectif;2025-12-12 20:56:57
marqué;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquée;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marqués;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquées;en;marked;glossaire;adjectif;2025-12-12 20:56:57
important;en;important;glossaire;adjectif;2025-12-12 20:56:57
importante;en;important;glossaire;adjectif;2025-12-12 20:56:57
importants;en;important;glossaire;adjectif;2025-12-12 20:56:57
importantes;en;important;glossaire;adjectif;2025-12-12 20:56:57
majeur;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeuse;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeurs;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeuses;en;Major;glossaire;adjectif;2025-12-12 20:56:57
complexe;en;complex;glossaire;adjectif;2025-12-12 20:56:57
complexes;en;complexes;glossaire;adjectif;2025-12-12 20:56:57
modéré;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérée;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérés;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérées;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
léger;en;light;glossaire;adjectif;2025-12-12 20:56:57
légère;en;slight;glossaire;adjectif;2025-12-12 20:56:57
légers;en;light;glossaire;adjectif;2025-12-12 20:56:57
légères;en;slight;glossaire;adjectif;2025-12-12 20:56:57
bénin;en;benin;glossaire;adjectif;2025-12-12 20:56:57
bénigne;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénins;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénignes;en;benign;glossaire;adjectif;2025-12-12 20:56:57
béance;en;hollowness;deepl;tag;2025-12-12 20:56:57
beance;en;beance;deepl;tag;2025-12-12 20:56:57
beances;en;beances;deepl;tag;2025-12-12 20:56:57
béance dentaire;en;open bite;deepl;tag;2025-12-12 20:56:57
béances dentaires;en;gaps in the teeth;deepl;tag;2025-12-12 20:56:57
espace entre les dents;en;space between teeth;deepl;tag;2025-12-12 20:56:57
espaces entres les dents;en;spaces between teeth;deepl;tag;2025-12-12 20:56:57
espace interdentaire;en;interdental space;deepl;tag;2025-12-12 20:56:57
espaces interdentaires;en;interdental spaces;deepl;tag;2025-12-12 20:56:57
morsure béante;en;gaping bite;deepl;tag;2025-12-12 20:56:57
morsures béantes;en;gaping bites;deepl;tag;2025-12-12 20:56:57
morsure ouverte;en;open bite;deepl;tag;2025-12-12 20:56:57
morsures ouvertes;en;open bites;deepl;tag;2025-12-12 20:56:57
open bite;en;open cock;deepl;tag;2025-12-12 20:56:57
openbite;en;openbite;deepl;tag;2025-12-12 20:56:57
écartement;en;spacing;deepl;tag;2025-12-12 20:56:57
écartemente;en;distance;deepl;tag;2025-12-12 20:56:57
écartements;en;gauges;deepl;tag;2025-12-12 20:56:57
écartementes;en;spacing;deepl;tag;2025-12-12 20:56:57
écart;en;gap;deepl;tag;2025-12-12 20:56:57
écarte;en;discard;deepl;tag;2025-12-12 20:56:57
écarts;en;differences;deepl;tag;2025-12-12 20:56:57
écartes;en;gaps;deepl;tag;2025-12-12 20:56:57
antérieur;en;previous;deepl;adjectif;2025-12-12 20:56:57
antérieuse;en;previous;deepl;adjectif;2025-12-12 20:56:57
antérieurs;en;previous;deepl;adjectif;2025-12-12 20:56:57
antérieuses;en;previous;deepl;adjectif;2025-12-12 20:56:57
frontal;en;front;deepl;adjectif;2025-12-12 20:56:57
frontale;en;front;deepl;adjectif;2025-12-12 20:56:57
frontaux;en;front-ends;deepl;adjectif;2025-12-12 20:56:57
frontales;en;frontal;deepl;adjectif;2025-12-12 20:56:57
avant;en;before;glossaire;adjectif;2025-12-12 20:56:57
avante;en;forward;deepl;adjectif;2025-12-12 20:56:57
avants;en;front;deepl;adjectif;2025-12-12 20:56:57
avantes;en;front;deepl;adjectif;2025-12-12 20:56:57
postérieur;en;back;deepl;adjectif;2025-12-12 20:56:57
postérieuse;en;rear;deepl;adjectif;2025-12-12 20:56:57
postérieurs;en;posterior;deepl;adjectif;2025-12-12 20:56:57
postérieuses;en;posteriors;deepl;adjectif;2025-12-12 20:56:57
arrière;en;rear;deepl;adjectif;2025-12-12 20:56:57
arrières;en;back;deepl;adjectif;2025-12-12 20:56:57
latéral;en;lateral;deepl;adjectif;2025-12-12 20:56:57
latérale;en;lateral;deepl;adjectif;2025-12-12 20:56:57
latéraux;en;lateral;deepl;adjectif;2025-12-12 20:56:57
latérales;en;lateral;deepl;adjectif;2025-12-12 20:56:57
gauche;en;left;deepl;adjectif;2025-12-12 20:56:57
gauches;en;left;deepl;adjectif;2025-12-12 20:56:57
droit;en;right;deepl;adjectif;2025-12-12 20:56:57
droite;en;right;deepl;adjectif;2025-12-12 20:56:57
droits;en;rights;deepl;adjectif;2025-12-12 20:56:57
droites;en;straight;deepl;adjectif;2025-12-12 20:56:57
sévère;en;severe;glossaire;adjectif;2025-12-12 20:56:57
sévères;en;severe;glossaire;adjectif;2025-12-12 20:56:57
grave;en;serious;glossaire;adjectif;2025-12-12 20:56:57
graves;en;serious;glossaire;adjectif;2025-12-12 20:56:57
marqué;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquée;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marqués;en;marked;glossaire;adjectif;2025-12-12 20:56:57
marquées;en;marked;glossaire;adjectif;2025-12-12 20:56:57
important;en;important;glossaire;adjectif;2025-12-12 20:56:57
importante;en;important;glossaire;adjectif;2025-12-12 20:56:57
importants;en;important;glossaire;adjectif;2025-12-12 20:56:57
importantes;en;important;glossaire;adjectif;2025-12-12 20:56:57
majeur;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeuse;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeurs;en;major;glossaire;adjectif;2025-12-12 20:56:57
majeuses;en;Major;glossaire;adjectif;2025-12-12 20:56:57
complexe;en;complex;glossaire;adjectif;2025-12-12 20:56:57
complexes;en;complexes;glossaire;adjectif;2025-12-12 20:56:57
modéré;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérée;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérés;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
modérées;en;moderate;glossaire;adjectif;2025-12-12 20:56:57
léger;en;light;glossaire;adjectif;2025-12-12 20:56:57
légère;en;slight;glossaire;adjectif;2025-12-12 20:56:57
légers;en;light;glossaire;adjectif;2025-12-12 20:56:57
légères;en;slight;glossaire;adjectif;2025-12-12 20:56:57
bénin;en;benin;glossaire;adjectif;2025-12-12 20:56:57
bénigne;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénins;en;benign;glossaire;adjectif;2025-12-12 20:56:57
bénignes;en;benign;glossaire;adjectif;2025-12-12 20:56:57
Bruxisme;en;Bruxism;deepl;tag;2025-12-12 20:56:57
bruxomanie;en;bruxism;deepl;tag;2025-12-12 20:56:57
