# desyntags.csv généré par tags2syn.py V1.0.0
# Date: 16/12/2025 19:18:38
# Lignes: 788
stdtag;canontag
kleiner Backenzahn;prémolaire
abnehmbare Platte;plaque amovible
Fächerplatte;plaque éventail
orthodontische Platte;plaque amovible
Schmetterlingsplatte;plaque papillon
Platte y;plaque Y
interproximales Polieren;stripping
ektopische Position;ectopie
Zungenschub;interposition linguale
Erstgebiss;dentition temporaire
Abdrucknahme;empreinte
Okklusionsproblem;malocclusion
Funktionsproglomerat;proglissement
Unterkieferprogression;proglissement
Zahnprognathie;classe III d'Angle
Unterkieferprognathie;Prognathisme mandibulaire
Oberkieferprognathie;Prognathisme maxillaire
Unterkieferprognathismus;Prognathisme mandibulaire
Prognathismus des Oberkiefers;Prognathisme maxillaire
nekrotisches Fruchtfleisch;nécrose pulpaire
quad helix;quad helix
quadri helix;quad helix
Wurzelverkürzung;résorption radiculaire
Panorama-Radio;panoramique
Panoramaröntgenaufnahme;panoramique
receding gums;récession gingivale
gingivale Rezession;récession gingivale
parodontale Rezession;récession gingivale
orthodontischer Rückfall;récidive
horizontale Überlappung;supraposition
Mandelreduktion;stripping
interproximale Reduktion;stripping
abnehmbare Appliance;plaque amovible
Harzverbundstoff;composite
Kompositharz;composite
apikale Resorption;résorption radiculaire
Wurzelresorption;résorption radiculaire
Mundbeatmungsgerät;respiration buccale
Mundatmung;respiration buccale
Nasenatmung;ventilation nasale
Mundatmung;respiration buccale
Gelenksprung;ressaut articulaire
atm Vorsprung;ressaut articulaire
Gingivarückzug;récession gingivale
Zahnretrognathie;classe II d'Angle
mandibuläre Retrognathie;classe II d'Angle
Retrognathie des Oberkiefers;classe III d'Angle
dentale Retrusion;classe II d'Angle
axiale Rotation;rotation
Wurzelrotation;torque
Gummibänder;élastiques intermaxillaires
3D-Scan;scanner
Digitaler Scan;scanner intra-oral
intraoraler Scanner;scanner intra-oral
Schlafapnea;apnée du sommeil
Zahnausgang;égression
zahnärztliche Unterversorgung;microdontie
anteriorer Unterbiss;infraclusion
Zahnunterbiss;classe III d'Angle
Space Maintainer;mainteneur d'espace
Zahnübergröße;macrodontie
tong e;tong E
Tongue Thrust;interposition linguale
tooth decay;caries dentaires
Wurzeltorsion;torque
interzeptive Behandlung;traitement interceptif
Frühbehandlung;traitement interceptif
Zahntranslation;translation
Atmungsstörungen;ATM
twisted tooth;rotation
kieferorthopädischer Notfall;urgence
Zahnabnutzung;Bruxisme
nasale Ventilation;ventilation nasale
orale Beatmung;respiration buccale
Axialversion;rotation
Ankerschraube;minivis
asymmetrisches Gesicht;asymétrie faciale
wire poking;fil qui pique
3d;scanner
4helix;quad helix
Stahl;métal
Aktivator;activateur
aero;aéro
aerophonoskop;aéro
agenesie;agénésie
Alginat;empreinte
Ausrichtung;alignement
Aligner;gouttière
Alveole;bipro
ankilose;ankylose
Ankylose;ankylose
Anodontie;agénésie
appointment;consultation
Bogen;arc
Arkade;arcade
archwire;arc
abreißen;avulsion
Arthritis;arthrite
Osteoarthritis;arthrose
Gelenk;phonation
Asymmetrie;latérodéviation
atm;ATM
Klammer;ligature
Klammern;bagues
schlucken;déglutition
Aufstieg;mésialisation
Abtreibung;avulsion
Ringe;bagues
Wippe;version
Kippen;version
beance;béance
bikuspidal;prémolaire
Pleuelstange;bielles
Pleuelstangen;bielles
bipro;bipro
Biproalveolie;bipro
Braces;bagues
bracket;bagues
Brackets;bagues
Stifte;bagues
Bürsten;hygiène
Bruxismus;Bruxisme
Bruxomanie;Bruxisme
canine;canine
Karies;caries dentaires
Höhle;béance
cbct;scanner
cephalo;céphalométrie
Cephalometrie;céphalométrie
ceramic;céramique
Keramik;céramique
Überlappung;crowding
Kaugummi;mastication
Chirurgie;chirurgie
fünfte;prémolaire
Reinigung;hygiène
clenching;Bruxisme
clicking;claquement articulaire
Verbundstoff;composite
Konsultation;consultation
konsultieren;consultation
contention;contention
Kontrolle;contrôle
Korrektur;alignement
Paar;torque
Croc;canine
Wachstum;croissance
knacken;mastication
crossbite;occlusion croisée
Crowding;crowding
Höcker;canine
ddm;DDM
debandage;débandage
Dechiffrierung;maladie parodontale
deciduous;dentition temporaire
dedentation;avulsion
Schlucken;déglutition
delaire;classe III d'Angle
Entkalkung;détartrage
Entwicklung;croissance
diastemata;diastemata
diasteme;diastème
Diasteme;diastemata
discrepance;DDM
Leistungsschalter;quad helix
Disjunktion;quad helix
Verrenkung;luxation
Distalisierung;distalisation
disto-occlusion;classe II d'Angle
Distocclusion;classe II d'Angle
Schmerzen;douleur
zwölfte;molaire
Disharmonie;DDM
dysharmonie-dento-maxillaire;DDM
Dysmorphie;dysplasie
Dysmorphose;DDM
Dysplasie;dysplasie
ec;ectopie
Abstand;béance
Abstand;béance
Retraktor;écarteur
Ektopie;ectopie
zahnlos;édentation
edente;édentation
Zahnlücke;édentation
ef;EF
egression;égression
Gummiband;ligature
Ansprache;phonation
emergency;urgence
Fußabdruck;empreinte
Platzbedarf;crowding
Endoalveolie;endoalvéolie
Vertiefung;ingression
erp;quad helix
eruption;égression
Raum;diastème
Abstand;diastème
Abstände;diastème
Räume;diastemata
esthetique;céramique
eventail;plaque éventail
Exodontie;avulsion
Expansion;quad helix
Extraktion;avulsion
Extrusion;égression
Faden;arc
follow-up;contrôle
forsus;bielles
gap;diastème
Gingivitis;gingivite
Gingivitis;gingivite
Regenrinne;gouttière
aufwachsen;croissance
Knirschen;Bruxisme
grinding;Bruxisme
Wachstum;croissance
hawley;contention
herbst;Herbst
horizontal;supraposition
Hygiene;hygiène
Hyperdontie;dent surnuméraire
Hyperplasie;macrognathie
Hypodontie;agénésie
Hypoplasie;classe III d'Angle
Impaktion;inclusion
Druck;empreinte
imu;élastiques intermaxillaires
Schneidezahn;incisive
Neigung;version
Einschluss;inclusion
Unbehagen;douleur
infra-position;infraposition
infraclusion;infraclusion
infraposition;infraposition
ingression;ingression
Intervention;chirurgie
Eindringen;ingression
invisalign;gouttière
ipr;stripping
Reizung;fil qui pique
laterodeviation;latérodéviation
Ligatur;ligature
Feilen;stripping
linguo-version;linguo-version
linguoversion;linguo-version
Luxation;luxation
macher;mastication
Makrodontie;macrodontie
Makrognathie;macrognathie
Wartung;contention
Aufrechterhaltung;contention
schlecht;douleur
Missbildung;dysplasie
Malokklusion;malocclusion
maloclusion;malocclusion
Fehlstellung;malposition
Kauen;mastication
kauen;mastication
Reifung;croissance
Megalodontie;macrodontie
Mesialisierung;mésialisation
mesio-occlusion;classe III d'Angle
mesiocclusion;classe III d'Angle
mesiodens;dent surnuméraire
metal;métal
metallisch;métal
Schleifen;stripping
Mikrodontie;microdontie
Mikrognathie;micrognathie
Minischraube;minivis
Minivis;minivis
molar;molaire
Monitoring;contrôle
Monoblock;activateur
Gießen;empreinte
Bewegung;translation
Reinigung;hygiène
Neutrocclusion;classe I d'Angle
Nickel-Titan;NiTi
niti;NiTi
nitinol;NiTi
Normokklusion;classe I d'Angle
Oligodontie;agénésie
Onychophagie;onychophagie
openbite;béance
Operation;chirurgie
opg;panoramique
Orthopantomogramm;panoramique
osa;apnée du sommeil
Osteoarthritis;arthrose
Osteotomie;ostéotomie
overbite;supraclusion
overjet;supraposition
befrieden;succion
Brot;douleur
Panorama;panoramique
panorex;panoramique
Schmetterling;plaque papillon
sprechen;phonation
Parodontitis;maladie parodontale
Parodontopathie;maladie parodontale
Wort;phonation
pendulum;pendulum
Phonation;phonation
popping;ressaut articulaire
Daumen;succion
powerscope;bielles
Vormundschaft;prémolaire
Proalveolie;proalvéolie
Problem;urgence
procheilie;proalvéolie
Proklusion;protrusion
Profil;céphalométrie
Proglomerat;proglissement
proinclination;proalvéolie
Prophylaxe;détartrage
propulsor;Propulsor
Protrusion;protrusion
quadhelix;quad helix
quad-helix;quad helix
vierte;prémolaire
Radio;panoramique
Röntgenaufnahme;panoramique
Rückfall;récidive
Rückfall;récidive
Rückzug;distalisation
Wiedergutmachung;alignement
relapse;récidive
Termin;consultation
Zurückhaltung;contention
zurück;récidive
Retroalveolie;rétroalvéolie
retrocheilie;rétroalvéolie
retrognathe;classe II d'Angle
Retrognathie;classe II d'Angle
retroinklination;rétroalvéolie
retromandibular;classe II d'Angle
Retromandibulismus;classe II d'Angle
retromaxillär;classe III d'Angle
Retroposition;classe II d'Angle
retroversion;rétrusion
retrusion;rétrusion
rhizalyse;résorption radiculaire
Schnarchen;apnée du sommeil
Rotation;rotation
saos;apnée du sommeil
scaling;détartrage
Scanner;scanner
Sensibilität;douleur
Separator;écarteur
Separator;écarteur
Umklammerung;Bruxisme
sechste;molaire
slicing;stripping
leiden;douleur
Suberuption;infraposition
space;diastème
spacing;spacing
speech;phonation
Stabilisierung;contention
steel;métal
straightening;alignement
stripping;stripping
Saugen;succion
saugen;succion
Saugen;succion
Nachbereitung;contrôle
superelastisch;NiTi
supernumeraire;dent surnuméraire
supra;supraclusion
Supraeruption;supraposition
Überposition;supraposition
supraclusion;supraclusion
supraocclusion;supraclusion
Supraposition;supraposition
Surfacing;détartrage
surgery;chirurgie
Overlock;supraposition
Überhang;supraposition
überwachen;contrôle
swallowing;déglutition
tads;minivis
tef;EF
telecrane;céphalométrie
teleradio;céphalométrie
Teleradiographie;céphalométrie
Tetine;succion
tie;ligature
tipping;version
Titan;métal
titanium;métal
tmd;ATM
tmj;ATM
Computertomographie;scanner
Tomographie;scanner
tong-e;tong E
torque;torque
translation;translation
transparent;céramique
Transposition;transposition
underbite;infraclusion
Notfall;urgence
dringend;urgence
Version;version
vestibulo-position;vestibulo-version
vestibulo-version;vestibulo-version
vestibuloversion;vestibulo-version
Besuch;consultation
wire;arc
