canon;type;Xgn;synonymes;XX;adjs;XY;m;f;mp;fp;frcanon;fradjs
歯軋り;p;m;歯軋り,食いしばり,ぎこぎこ,研磨,引き締め,歯の摩耗,歯を食いしばる,歯を食いしばる,歯ぎしり;XX;夜,昼行性,厳しい,控えめ;XY;;;;;bruxisme;nocturne,diurne,sévère,modéré
イヌ;p;f;クロコ,先端,糸切り歯,狼牙;XX;;XY;;;;;canine;
う蝕;p;fp;齲蝕,虫歯,う蝕,う蝕;XX;;XY;;;;;caries dentaires;
頭囲測定;p;f;テラジオグラフィー,テレラジオ,側頭骨,プロフィール,セファロ,プロフィールラジオ,テレクラニウム,プロファイルX線撮影;XX;;XY;;;;;céphalométrie;
セラミックス;p;f;セラミック,美学,透明,セラミックブラケット,セラミック・ファスナー;XX;;XY;;;;;céramique;
外科手術;p;f;介入,操作,外科手術,顎の手術,下顎手術,ジョー操作,顎矯正手術,顎顔面外科;XX;トラウマティック;XY;;;;;chirurgie;traumatique
ジョイントスナップ;p;m;スラム・アトム,クリック;XX;;XY;;;;;claquement articulaire;
クラスIコーナー;p;f;クラス1コーナー,クラスIコーナー,クラスIダングル,クラス1ダングル,クラスIコーナー,クラス1コーナー,中性潅流,正常閉塞,級モル関係,正常結節,クラス1デンタル,中性モル関係,クラス1,クラスI,歯科教室;XX;満員;XY;;;;;classe i d'angle;encombré
クラスI骨格;p;f;1級骨格,クラスI骨格;XX;理想的,控えめ;XY;;;;;classe i squelettique;idéal, modéré
クラスIIコーナー;p;f;クラス2コーナー,クラスIIコーナー,クラスII・ダングル,クラス2ダングル,クラスIIコーナー,クラス2コーナー,不正咬合,歯列後退,水平張り出しの増加,オーバージェットの増加,クラス2デンタル,水平張り出しの増加,歯列不正,クラス2,クラスII,反対咬合,デンタルレトロフュージョン,レトロマンディビュリズム,後顎,下顎後退,下顎後屈,後遺症,レトログナテ,後置,下顎後方,下顎後退;XX;厳しい,控えめ,第1部門,ディビジョン2,一方的;XY;;;;;classe ii d'angle;sévère,modéré,division 1,division 2,unilatéral
クラスIIの骨格;p;f;クラス2 骨格,クラスIIの骨格;XX;;XY;;;;;classe ii squelettique;
クラスIIIコーナー;p;f;クラス3コーナー,クラスIIIコーナー,危険物第3種,3級ダングル,クラスIIIコーナー,クラス3コーナー,中間咬合,顎前突症,クラス3デンタル,アンダーバイト,歯科的中咬合,クラス3,クラスIII,中間咬合,上顎前突,腋窩後部,上顎後方,後退した上顎,凹型上顎骨,デレールの仮面,デレール,低形成,顎骨低形成;XX;厳しい,控えめ,一方的;XY;;;;;classe iii d'angle;sévère,modéré,unilatéral
クラスIII 骨格;p;f;クラス3 骨格,クラスIII 骨格;XX;厳しい,控えめ;XY;;;;;classe iii squelettique;sévère,modéré
コンポジット;p;m;コンポジットレジン,レジン・コンポジット,複合修復;XX;;XY;;;;;composite;
協議;p;f;アポイントメント,アポイントメント,訪問,訪問,矯正歯科検診;XX;;XY;;;;;consultation;
拘束;p;f;拘束装置,サポートワイヤー,ホーリー,メンテナンス,メンテナンス,サポートプレート,保持,安定化;XX;固定,リムーバブル;XY;;;;;contention;fixe,amovible
コントロール;p;m;フォローアップ,フォローアップ,モニタリング,モニター,視察;XX;;XY;;;;;contrôle;
成長;p;f;開発,育つ,成長,成熟;XX;;XY;;;;;croissance;
押し合い;p;m;スペース要件,オーバーラップ,スペース不足,重なり合う歯,歯列叢生,歯列叢生;XX;;XY;;;;;crowding;
しょうこうドットエム;p;f;不統一,不一致,歯の不調和,異形,歯と顎の不調和,歯と顎の不調和,顎骨の不調和;XX;;XY;;;;;ddm;
拡散;p;m;取り外し可能なブラケット,落下リング,ルーズブラケット,脱着式ファスナー;XX;;XY;;;;;débandage;
呑み込み;p;f;飲み下す,呑み込み,嚥下機能,嚥下行為;XX;;XY;;;;;déglutition;
過剰歯;p;f;余分な歯,追加歯,過度歯,中間膜,エクストラ;XX;;XY;;;;;dent surnuméraire;
混合歯列;p;f;混合歯列,ミックスギア,移行期歯列;XX;;XY;;;;;dentition mixte;
永久歯;p;f;永久歯,大人の歯,永久歯,永久歯,大人の歯;XX;;XY;;;;;dentition permanente;
仮歯列;p;f;乳歯,乳歯,第一次歯列,落葉,乳歯,乳歯,仮歯;XX;を含む;XY;;;;;dentition temporaire;inclus
スケール除去;p;m;歯科クリーニング,予防,拡大縮小,浮上;XX;;XY;;;;;détartrage;
下顎偏位;p;f;下顎シフト,下顎偏位;XX;;XY;;;;;déviation mandibulaire;
上顎偏位;p;f;トゥースシフト,中央線の偏差;XX;;XY;;;;;déviation maxillaire;
ジアステマータ;p;mp;拡張,マルチスペース,すきっ歯,一般化スペーシング,歯間スペース,スペース;XX;セントラル;XY;;;;;diastemata;central
ジアステマ;p;m;スペース,ギャップ,スペース,スペーシング,中央ジアステマ,歯並び,デンタル・スペーシング,幸福の歯,スペーシング;XX;セントラル;XY;;;;;diastème;central
ディスタリゼーション;p;f;バック,遠位変位,ディスタンス運動;XX;;XY;;;;;distalisation;
痛み;p;f;ひどく,パン,苦しむ,不快感,感性,歯痛;XX;感染性;XY;;;;;douleur;infectieux
舌機能障害;p;f;舌下,舌側低位,嚥下障害,一次嚥下,舌の位置が悪い;XX;;XY;;;;;dysfonction linguale;
異形成;p;f;異形症,発達異常,奇形,先天異常;XX;;XY;;;;;dysplasie;
スプレッダー;p;m;セパレータ,セパレータ,エラスティックセパレーター,スペーサーリング;XX;;XY;;;;;écarteur;
エクトピー;p;f;歯列弓外歯,すれ違い歯,異所性歯,筋違い,子宮外,エコ,異所性歯;XX;;XY;;;;;ectopie;
無歯顎;p;f;エデンテーション,歯がない,無歯顎症,歯の喪失,無歯顎;XX;;XY;;;;;édentation;
もし;p;f;テフ,機能的リハビリテーション治療;XX;;XY;;;;;ef;
進化;p;f;突出部,軽率,歯科見学,歯牙糜爛;XX;;XY;;;;;égression;
顎間ゴム;p;mp;クラスゴム,クラスIIゴムバンド,第3種ゴムバンド,輪ゴム,イミュ;XX;;XY;;;;;élastiques intermaxillaires;
フットプリント;p;f;インプレッション・テイキング,成形,印刷,アルギン酸塩,歯型;XX;;XY;;;;;empreinte;
エンドアルベオラス;p;f;肺胞異常,基底異常;XX;下顎骨,上顎骨,厳しい,控えめ;XY;;;;;endoalvéolie;mandibulaire,maxillaire,sévère,modéré
痒い糸;p;m;痛い糸,ワイヤープッシング,苛立ち,突出しワイヤー,突き出た糸;XX;;XY;;;;;fil qui pique;
歯肉炎;p;f;歯肉炎,赤い歯茎,歯肉炎,歯ぐきの炎症;XX;;XY;;;;;gingivite;
側溝;p;f;インビザライン,アライナー,インビジブル・アライナー,取り外し可能な透明装置,クリアアライン,矯正用スプリント,透明樋,アリュールファースト,ファーストアライナー;XX;;XY;;;;;gouttière;
ハーブスト;p;m;ハーベスト装置,訂正クラスII,ハーベストコネクティングロッド,ハーベストシリンダー;XX;;XY;;;;;herbst;
衛生;p;f;クリーニング,ブラッシング,クリーニング,口腔衛生,歯科衛生士;XX;;XY;;;;;hygiène;
門歯;p;f;前歯,前歯;XX;セントラル;XY;;;;;incisive;central
包含;p;f;歯を含む,抜けない歯,埋伏,埋伏歯,留め歯,詰まり歯,生えない歯;XX;;XY;;;;;inclusion;
おとり捜査;p;f;アンダーバイト,前下咬合;XX;;XY;;;;;infraclusion;
こうち;p;f;ざいい,埋伏歯,歯が低すぎる,サブイラプション;XX;;XY;;;;;infraposition;
移入;p;f;乱入,沈没,歯牙侵入,侵入の動き;XX;;XY;;;;;ingression;
舌側;p;f;歯と歯の間の舌,舌打ち,間隙,舌側スラスト;XX;;XY;;;;;interposition linguale;
後ずれ;p;f;横ずれ,非対称;XX;右,左,上顎骨,下顎骨;XY;;;;;latérodéviation;droit,gauche,maxillaire,mandibulaire
ライゲーション;p;f;エラスチック,ネクタイ,添付ファイル,メタルリガチャー,エラスティック・リガチャー,カラーリガチャー;XX;固定,リムーバブル;XY;;;;;ligature;fixe,amovible
言語バージョン;p;f;言語オーバージョン,言語的に注がれた,舌側,舌側傾斜;XX;;XY;;;;;linguo-version;
転位;p;f;脱臼アトム,関節変位,転位;XX;;XY;;;;;luxation;
半月板脱臼;p;f;半月板変位,椎間板脱臼,大気障害;XX;;XY;;;;;luxation méniscale;
マクロどんてき;p;f;歯が大きすぎる,過大歯,メガロドンティックス;XX;;XY;;;;;macrodontie;
マクログナシー;p;f;大顎,過形成,大顎,顎が大きすぎる,下顎過剰,上顎過剰;XX;;XY;;;;;macrognathie;
スペースメンテナー;p;m;スペースメンテナー,リングとハンドル,スペースメンテナー;XX;;XY;;;;;mainteneur d'espace;
歯周病;p;f;歯周炎,えいえい,歯周病,歯周病,歯周病;XX;;XY;;;;;maladie parodontale;
不正咬合;p;f;歯列不正,不正流出,悪い噛み合わせ,かみ合わせの悪さ,噛み合わせの問題;XX;右,左;XY;;;;;malocclusion;droit,gauche
誤位置;p;f;歯列不正,はがゆい;XX;下顎骨,上顎骨;XY;;;;;malposition;mandibulaire,maxillaire
咀嚼;p;f;噛む,噛む,クランチ,咀嚼,咀嚼機能,咀嚼機能;XX;;XY;;;;;mastication;
中耳化;p;f;昇格,中間の変位,中耳化運動;XX;;XY;;;;;mésialisation;
メタル;p;m;スチール,スチール,チタン,チタン,メタリック,非腐食性金属;XX;;XY;;;;;métal;
小耳症;p;f;歯が小さすぎる,歯性小人症,デンタルアンダーサイジング;XX;;XY;;;;;microdontie;
小顎症;p;f;小顎,顎が小さすぎる,下顎欠損,上顎欠損;XX;;XY;;;;;micrognathie;
ミニヴィス;p;f;ミニスクリュー,ミニインプラント,ボーン・アンカーリング,タッズ,骨格アンカー,アンカースクリュー,暫間矯正用インプラント;XX;;XY;;;;;minivis;
大臼歯;p;f;大歯,奥歯,第六,十二番目,六歳臼歯,12歳臼歯;XX;;XY;;;;;molaire;
歯髄壊死;p;f;パルプ死,歯髄壊死,壊死性パルプ,必要な活性化;XX;;XY;;;;;nécrose pulpaire;
ニティ;p;m;ニチノール,ニッケルチタン,超弾性,ニティスレッド,熱活性糸;XX;;XY;;;;;niti;
クロスバイト;p;f;クロスバイト,クロスバイト,アーティキュレーテッド・クロス;XX;;XY;;;;;occlusion croisée;
リバースバイト;p;f;リバースバイト,リバースバイト,逆ヒンジ;XX;;XY;;;;;occlusion inversée;
異食症;p;f;爪噛み,爪噛み,爪噛み;XX;;XY;;;;;onychophagie;
骨切り;p;f;顎の手術,顎の手術,顎矯正手術,二重顎手術;XX;;XY;;;;;ostéotomie;
パノラマ;p;m;パノラマ・ラジオ,オルソパントモグラム,オッペグ,パノレックス,ラジオ,ラジオグラフィー,デンタル・パノラマ,パノラマX線写真;XX;;XY;;;;;panoramique;
振り子;p;m;大臼歯遠位化,振り子装置;XX;;XY;;;;;pendulum;
フォネーション;p;f;単語,エロキューション,話す,スピーチ,音声機能,ジョイント;XX;;XY;;;;;phonation;
取り外し可能なプレート;p;f;リムーバブル・アプライアンス,リムーバブル・アプライアンス,歯列矯正プレート;XX;;XY;;;;;plaque amovible;
ファンプレート;p;f;範囲;XX;;XY;;;;;plaque éventail;
バタフライプレート;p;f;蝶;XX;;XY;;;;;plaque papillon;
プレートY;p;f;Y字型;XX;;XY;;;;;plaque y;
前臼歯;p;f;前臼歯,そうぼう,第四,第五,小臼歯;XX;;XY;;;;;prémolaire;
前弁膜溶解;p;f;性向,プロジェクト;XX;鋭い,下顎骨,上顎骨,厳しい,控えめ;XY;;;;;proalvéolie;incisif,mandibulaire,maxillaire,sévère,modéré
ずれ;p;f;下顎すべり症,下顎すべり症,下顎機能的偏位,機能的スライディング;XX;;XY;;;;;proglissement ;
下顎;p;m;下顎前突症,下顎前方,高度下顎骨,出っ歯;XX;厳しい,控えめ;XY;;;;;prognathisme mandibulaire;sévère,modéré
下顎;p;m;上顎前突症,上顎前方,高度な上顎骨,隆起した上顎;XX;厳しい,控えめ;XY;;;;;prognathisme maxillaire;sévère,modéré
すいしんき;p;m;CI II 推進剤,ci 2 推進剤,クラスIIエンジン,クラス2スラスター,クラスIIエンジン;XX;;XY;;;;;propulsor;
突出;p;f;過度の前進,前方投影,プロージョン;XX;;XY;;;;;protrusion;
クワッドヘリックス;p;m;サーキットブレーカー,拡大,切断,パレット遮断器,拡張装置,口蓋拡張装置,エラップ,急拡大,4ヘリックス,4ヘリックス,クアドリヘリックス,クアドリ・ヘリックス,スローエクスパンション,クアドヘリックス;XX;;XY;;;;;quad helix;
歯肉退縮;p;f;歯肉退縮,歯茎の後退,歯周後退,歯肉退縮;XX;;XY;;;;;récession gingivale;
再発;p;f;再犯,再発,再発,バック,歯列矯正の再発;XX;;XY;;;;;récidive;
歯根吸収;p;f;歯根吸収,吸収根,根粒分析,頂端吸収,ルート・ショートニング;XX;;XY;;;;;résorption radiculaire;
口呼吸;p;f;口腔換気,かいこう,口呼吸,経口呼吸器,口呼吸,口呼吸;XX;;XY;;;;;respiration buccale;
関節突出部;p;m;アトムジャンプ,ポッピング;XX;;XY;;;;;ressaut articulaire;
レトロアルベオラス;p;f;レトロチルト,レトロケイリア;XX;下顎骨,上顎骨,厳しい,控えめ;XY;;;;;rétroalvéolie;mandibulaire,maxillaire,sévère,modéré
逆流;p;f;逆行;XX;;XY;;;;;rétrusion;
ローテーション;p;f;回し歯,回転歯,ねじれ歯,軸回転,回転歯,回転位置異常,アキシャルバージョン;XX;;XY;;;;;rotation;
スキャナー;p;m;コーンビーム,cbct,コンピューター断層撮影法,コーンビームCT,3d,3Dイメージング,3Dスキャン,トモグラフィー;XX;;XY;;;;;scanner;
口腔内スキャナー;p;m;デジタルフットプリント,デジタル印刷,デジタルスキャン;XX;;XY;;;;;scanner intra-oral;
