question_detia;listcount_match;listcount_detall;listcount_detia;nb_criteres_match;nb_criteres_detall;nb_criteres_detia;nb_criteres_diff;tags_match;tags_jaccard;tags_detall;tags_detia;tags_communs;tags_only_detall;tags_only_detia;adjs_detall;adjs_detia;ages_detall;ages_detia;residu_detall;residu_detia;latency_ms
écart ?;True;LIST;LIST;False;1;0;-1;False;0.0;béance;;;beance;;;;;;;;716.6
Anb= 3° ?;True;LIST;LIST;True;1;1;0;True;1.0;Classe I squelettique;classe i squelettique;classe i squelettique;;;;;;;;?;4171.8
homme ?;True;LIST;LIST;False;2;1;-1;True;1.0;;;;;;;;Masculin, Homme;Homme;;?;3473.0
vingtaine ?;True;LIST;LIST;True;1;1;0;True;1.0;;;;;;;;Vingtaine;Vingtaine;;?;3516.6
classe 3 squelettique ?;True;LIST;LIST;True;1;1;0;True;1.0;Classe III squelettique;classe iii squelettique;classe iii squelettique;;;;;;;;?;622.2
classe 2 squelettique div 1 div 2 ?;True;LIST;LIST;True;1;1;0;True;1.0;Classe II squelettique;classe II squelettique;classe ii squelettique;;;division 1;division 1, division 2;;;2;;4301.2
mandibule en retrait majeure modérée et maxillaire en retrait léger ?;True;LIST;LIST;False;1;2;1;False;0.5;rétrognathie mandibulaire;rétrognathie mandibulaire, rétrognathie maxillaire;retrognathie mandibulaire;;retrognathie maxillaire;moderee, severe;sévère, modéré, modéré;;;;?;6395.7
environ 17 ans et Anb<0° ?;True;LIST;LIST;False;1;2;1;False;0.0;;classe iii squelettique;;;classe iii squelettique;;;Environ 17 ans;Environ 17 ans;;?;4912.4
Anb <0° et prognathie mandibulaire majeur bénin ?;True;LIST;LIST;False;1;2;1;False;0.5;Classe III squelettique;classe iii squelettique, Prognathisme mandibulaire;classe iii squelettique;;prognathisme mandibulaire;;sévère, modéré;;;;?;5685.5
classe iii squelettique et adolescente ?;True;LIST;LIST;False;1;2;1;True;1.0;Classe III squelettique;classe iii squelettique;classe iii squelettique;;;;;;Adolescente;;?;4942.8
Anb<0° et maxillaire avancé modéré ?;True;LIST;LIST;False;1;2;1;False;0.5;Classe III squelettique;classe iii squelettique, prognathisme maxillaire;classe iii squelettique;;prognathisme maxillaire;;modéré;;;;?;5268.5
extraction immédiat différée et Classe III squelettique ?;True;LIST;LIST;False;1;0;-1;False;0.0;avulsion;;;avulsion;;immediate, differee;;;;;;814.2
mandibule en avant et toutes ?;True;LIST;LIST;False;1;2;1;True;1.0;Prognathisme mandibulaire;Prognathisme mandibulaire;prognathisme mandibulaire;;;;;;Toutes;;?;5152.6
mandibule en retrait marquée modérée et 8 ans ?;True;LIST;LIST;False;1;2;1;True;1.0;rétrognathie mandibulaire;rétrognathie mandibulaire;retrognathie mandibulaire;;;moderee, severe;sévère, modéré;;8 ans;;?;5327.8
Prognathisme mandibulaire modéré majeur et Prognathisme maxillaire bénin ?;True;LIST;LIST;False;1;2;1;False;0.5;Prognathisme mandibulaire;Prognathisme mandibulaire, Prognathisme maxillaire;prognathisme mandibulaire;;prognathisme maxillaire;modere, severe;modéré, sévère, modéré;;;;?;6153.7
Anb< 0° et enlever programmée immédiat différé ?;True;LIST;LIST;False;1;0;-1;False;0.0;Classe III squelettique;;;classe iii squelettique;;;;;;;;717.5
mineures et prognathie maxillaire sévère bénin ?;True;LIST;LIST;False;0;3;3;False;0.0;;Prognathisme maxillaire;;;prognathisme maxillaire;;sévère, modéré;;Mineure, Mineure;mineure;benin ?;5893.1
maxillaire proéminent modéré et openbite gauche bénigne latérale arrière marquée ?;True;LIST;LIST;False;1;2;1;False;0.5;Prognathisme maxillaire;Prognathisme maxillaire, béance;prognathisme maxillaire;;beance;modere;modéré, gauche, modéré, latéral, postérieur, sévère;;;;;6708.2
classe ii squelettique et maxillaire en arrière important ?;True;LIST;LIST;False;1;2;1;False;0.5;Classe II squelettique;classe II squelettique, rétrognathie maxillaire;classe ii squelettique;;retrognathie maxillaire;;sévère;;;;?;5142.7
maxillaire en retrait et serrement ?;True;LIST;LIST;False;1;0;-1;False;0.0;rétrognathie maxillaire;;;retrognathie maxillaire;;;;;;;;857.7
classe 2 squelettique et mineures ?;True;LIST;LIST;False;1;0;-1;False;0.0;Classe II squelettique;;;classe ii squelettique;;;;;;;;750.8
Classe III squelettique et feminin ?;True;LIST;LIST;False;1;2;1;True;1.0;Classe III squelettique;classe iii squelettique;classe iii squelettique;;;;;;Féminin;;?;5430.4
entre 10 et 10 ans et bruxomanie le jour ?;True;LIST;LIST;False;1;2;1;False;0.0;;Bruxisme;;;bruxisme;;diurne;Entre 10 et 10 ans;Entre 10 et 10 ans;;?;5286.7
maxillaire proéminent et dédentement ?;True;LIST;LIST;False;1;2;1;False;0.5;Prognathisme maxillaire;Prognathisme maxillaire, édentation;prognathisme maxillaire;;edentation;;;;;;?;4843.0
femme et open bite droite latérale arrière légère marquée ?;True;LIST;LIST;True;2;2;0;False;0.0;;béance;;;beance;;droit, latéral, postérieur, modéré, sévère;Féminin, Femme;Féminin;;droite laterale arriere legere marquee;6359.8
mandibule en retrait modérée et jeunes adultes ?;True;LIST;LIST;False;1;2;1;True;1.0;rétrognathie mandibulaire;rétrognathie mandibulaire;retrognathie mandibulaire;;;moderee;modéré;;Jeune adulte;;?;5110.5
enlever programmé et maxillaire en retrait grave ?;True;LIST;LIST;False;1;2;1;False;0.5;avulsion;avulsion, rétrognathie maxillaire;avulsion;;retrognathie maxillaire;programmee;programmé, sévère;;;;?;5621.9
enlever et béance dentaire droite grave modérée arrière latérale ?;True;LIST;LIST;True;1;1;0;False;0.0;avulsion;béance;;avulsion;beance;;droit, sévère, modéré, postérieur, latéral;;;;enlever ?;5599.8
19 piges et prognathie mandibulaire sévère ?;True;LIST;LIST;False;1;2;1;False;0.0;;Prognathisme mandibulaire;;;prognathisme mandibulaire;;sévère;19 ans;19 ans;;?;5474.5
prognathie maxillaire important léger et h ?;True;LIST;LIST;False;1;0;-1;False;0.0;Prognathisme maxillaire;;;prognathisme maxillaire;;modere, severe;;;;;;752.9
maxillaire en retrait important et Anb> 4° ?;True;LIST;LIST;False;1;2;1;False;0.5;rétrognathie maxillaire;rétrognathie maxillaire, classe ii squelettique;retrognathie maxillaire;;classe ii squelettique;severe;sévère;;;;?;5282.1
Anb=4°, 14 piges et Anb >4° div1 div2 ?;True;LIST;LIST;False;1;3;2;False;0.5;Classe I squelettique;classe i squelettique, classe ii squelettique;classe i squelettique;;classe ii squelettique;;division 1, division 2;;14 ans;;?;7231.2
maxillaire avancé important modéré, prognathie mandibulaire et gones ?;True;LIST;LIST;False;1;3;2;False;0.5;Prognathisme maxillaire;Prognathisme maxillaire, Prognathisme mandibulaire;prognathisme maxillaire;;prognathisme mandibulaire;modere, severe;sévère, modéré;;Enfant;;?;6455.2
17 ans, Anb= 2° et béance ?;True;LIST;LIST;False;1;3;2;False;0.0;;classe i squelettique, béance;;;beance, classe i squelettique;;;17 ans;17 ans;;?;5410.4
adolescentes, écartement droite latérale bénigne et maxillaire en avant bénin important ?;True;LIST;LIST;False;2;0;-2;True;1.0;;;;;;;;Féminin, Adolescente;;;;751.4
pas encore 16 ans, mandibule proéminente bénin et béance dentaire avant droite ?;True;LIST;LIST;False;1;3;2;False;0.0;;Prognathisme mandibulaire, béance;;;beance, prognathisme mandibulaire;;modéré, antérieur, droit;Moins de 16 ans;Moins de 16 ans;;?;6555.3
serrement modéré, Anb< 0° et Prognathisme mandibulaire ?;True;LIST;LIST;False;1;3;2;False;0.3333333333333333;Bruxisme;bruxisme, classe iii squelettique, prognathisme mandibulaire;bruxisme;;classe iii squelettique, prognathisme mandibulaire;modere;modéré;;;;?;6389.5
béance sévère arrière bénigne gauche latérale, m et grincements marqué ?;True;LIST;LIST;False;1;0;-1;False;0.0;béance;;;beance;;laterale, moderee, gauche, severe;;;;posterieure;;742.6
m, grincent des dents la nuit diurne des dents marqué et Prognathisme mandibulaire ?;True;LIST;LIST;False;1;3;2;False;0.0;;Bruxisme, Prognathisme mandibulaire;;;bruxisme, prognathisme mandibulaire;;nocturne, diurne, sévère;Masculin;Masculin;;dents marque ?;8271.3
rétrognathie maxillaire modéré, Classe II squelettique div2 div 1 et maxillaire avancé bénin ?;True;LIST;LIST;False;1;3;2;False;0.3333333333333333;rétrognathie maxillaire;rétrognathie maxillaire, Classe II squelettique, Prognathisme maxillaire;retrognathie maxillaire;;classe ii squelettique, prognathisme maxillaire;modere;modéré, division 1, division 2, modéré;;;;?;7226.7
Classe II squelettique div 1 div2, generation z et extraire immédiat différée ?;True;LIST;LIST;False;1;3;2;False;0.5;Classe II squelettique;classe II squelettique, avulsion;classe ii squelettique;;avulsion;division 1;division 1, division 2, immédiat, différé;;Génération Z;2;?;6716.5
Anb = 4°, maxillaire en avant grave léger et maxillaire reculé sévère bénin ?;True;LIST;LIST;False;1;0;-1;False;0.0;Classe I squelettique;;;classe i squelettique;;;;;;;;614.2
Anb =3°, dédentement programmé différé immédiate et maxillaire en retrait important léger ?;True;LIST;LIST;False;1;3;2;False;0.3333333333333333;Classe I squelettique;classe i squelettique, avulsion, rétrognathie maxillaire;classe i squelettique;;avulsion, retrognathie maxillaire;;programmé, différé, sévère;;;;immediate leger ?;6916.2
openbite importante, maxillaire en retrait modéré grave et usure dentaire ?;True;LIST;LIST;False;1;3;2;False;0.3333333333333333;béance;béance, rétrognathie maxillaire, usure dentaire;beance;;retrognathie maxillaire, usure dentaire;severe;sévère, sévère;;;;?;6169.9
rétromandibulaire légère sévère, Prognathisme maxillaire et avant 25 ans ?;True;LIST;LIST;False;1;3;2;False;0.5;rétrognathie mandibulaire;rétrognathie mandibulaire, Prognathisme maxillaire;retrognathie mandibulaire;;prognathisme maxillaire;moderee, severe;sévère;;Moins de 25 ans;;?;5992.5
prognathie mandibulaire, Anb >4° division 1 div 2 et mineurs ?;True;LIST;LIST;False;1;0;-1;False;0.0;Prognathisme mandibulaire;;;prognathisme mandibulaire;;;;;;;;655.7
usure dentaire diurne, Anb= 2° parfaite et maxillaire en arrière modéré majeur ?;True;LIST;LIST;False;1;3;2;False;0.3333333333333333;Bruxisme;Bruxisme, classe i squelettique, rétrognathie maxillaire;bruxisme;;classe i squelettique, retrognathie maxillaire;diurne;diurne, idéal, modéré, sévère;;;;?;7378.0
mandibule en retrait majeure bénigne, rétromaxillaire important léger et grinding nocturne dentaire grave diurne léger ?;True;LIST;LIST;False;1;3;2;False;0.3333333333333333;rétrognathie mandibulaire;rétrognathie mandibulaire, rétrognathie maxillaire, bruxisme;retrognathie mandibulaire;;bruxisme, retrognathie maxillaire;moderee, severe;sévère, modéré, sévère, modéré, nocturne, sévère, diurne, modéré;;;;?;8405.5
avulsion, espace entre les dents bénigne gauche arrière sévère latérale et Anb = 1° harmonieuse ?;True;LIST;LIST;False;1;3;2;False;0.3333333333333333;avulsion;avulsion, béance, classe i squelettique;avulsion;;beance, classe i squelettique;;modéré, gauche, postérieur, sévère, latéral, idéal;;;;?;7675.4
m, tous et maxillaire en arrière modéré marqué ?;True;LIST;LIST;False;1;3;2;False;0.0;;rétrognathie maxillaire;;;retrognathie maxillaire;;modéré, sévère;Masculin;Masculin, Tous;;marque ?;5548.0
Prognathisme mandibulaire, grince des dents grave dentaires modéré et etudiant ?;True;LIST;LIST;False;1;4;3;False;0.5;Prognathisme mandibulaire;Prognathisme mandibulaire, Bruxisme, Bruxisme;prognathisme mandibulaire;;bruxisme;;sévère, modéré;;étudiant;;?;7010.4
de sexe feminin, majeurs et Anb < 0° ?;True;LIST;LIST;False;1;0;-1;True;1.0;;;;;;;;Féminin;;;;661.2
mandibule proéminente grave, mandibule en retrait et jeune adulte ?;True;LIST;LIST;False;1;3;2;False;0.5;Prognathisme mandibulaire;Prognathisme mandibulaire, rétrognathie mandibulaire;prognathisme mandibulaire;;retrognathie mandibulaire;severe;sévère;;Jeune adulte;;?;5953.4
Prognathisme mandibulaire marqué modéré, maxillaire en retrait léger majeur et Anb> 4° div2 ?;True;LIST;LIST;False;1;3;2;False;0.3333333333333333;Prognathisme mandibulaire;Prognathisme mandibulaire, rétrognathie maxillaire, classe II squelettique;prognathisme mandibulaire;;classe ii squelettique, retrognathie maxillaire;modere, severe;sévère, modéré, modéré, sévère, division 2;;;;?;7719.7
rétrognathie maxillaire modéré, classe 1 squelettique harmonieuse et Anb < 0° ?;True;LIST;LIST;False;1;0;-1;False;0.0;rétrognathie maxillaire;;;retrognathie maxillaire;;modere;;;;;;733.7
rétromandibulaire marquée, feminine et Anb =1° harmonieuse ?;True;LIST;LIST;False;1;0;-1;False;0.0;rétrognathie mandibulaire;;;retrognathie mandibulaire;;severe;;;;;;684.6
grincent des dents des dents, de sexe feminin, classe 2 squelettique division 1 division 2 et des 9 ans ?;True;LIST;LIST;False;1;4;3;False;0.5;Bruxisme;bruxisme, classe II squelettique;bruxisme;;classe ii squelettique;;division 1, division 2;;Féminin, 9 ans;dents;dents, ?;7255.1
mandibule en retrait modérée, feminin, béance droite arrière latérale et serrement ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;rétrognathie mandibulaire;rétrognathie mandibulaire, béance, bruxisme;retrognathie mandibulaire;;beance, bruxisme;moderee;modéré, droit, postérieur, latéral;;Féminin;;?;7603.9
classe ii squelettique, mandibule en retrait marquée modérée, Classe I squelettique parfaite et jeunes hommes ?;True;LIST;LIST;False;1;5;4;False;0.3333333333333333;Classe II squelettique;classe ii squelettique, rétrognathie mandibulaire, classe i squelettique;classe ii squelettique;;classe i squelettique, retrognathie mandibulaire;;sévère, modéré, idéal;;jeunes hommes, Masculin;;?;9523.8
mandibule en arrière, Anb >4° division 1, arracher et vingtaine ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;rétrognathie mandibulaire;rétrognathie mandibulaire, classe ii squelettique, avulsion;retrognathie mandibulaire;;avulsion, classe ii squelettique;;division 1;;Vingtaine;;?;6849.5
maxillaire proéminent bénin marqué, maxillaire en arrière marqué, Anb <0° et rétrognathie mandibulaire majeure ?;True;LIST;LIST;False;1;4;3;False;0.25;Prognathisme maxillaire;Prognathisme maxillaire, rétrognathie maxillaire, classe iii squelettique, rétrognathie mandibulaire;prognathisme maxillaire;;classe iii squelettique, retrognathie mandibulaire, retrognathie maxillaire;modere, severe;modéré, sévère, sévère;;;;marque ?;8283.9
openbite postérieure bénigne droite, de sexe masculin, rétrognathie mandibulaire bénigne et grincements bénin la nuit des dents ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;béance;béance, rétrognathie mandibulaire, bruxisme;beance;;bruxisme, retrognathie mandibulaire;moderee, droite;postérieur, modéré, droit, modéré, modéré, nocturne;;Masculin;posterieure;?;8747.5
morsure ouverte, clenching dentaires modéré, de sexe masculin et Anb=3° idéale ?;True;LIST;LIST;False;1;0;-1;False;0.0;béance;;;beance;;;;;;;;597.8
rétromaxillaire bénin majeur, morsure béante latérale arrière bénigne complexe droite, toutes et Rétromandibulisme grave ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;rétrognathie maxillaire;rétrognathie maxillaire, béance, rétrognathie mandibulaire;retrognathie maxillaire;;beance, retrognathie mandibulaire;modere, severe;modéré, latéral, postérieur, modéré, sévère, droit, sévère;;Toutes;;majeur morsure grave;8835.0
bruxomanie dents léger, Anb > 4° div 2 division 1, prognathie maxillaire bénin et maxillaire en arrière ?;True;LIST;LIST;False;1;4;3;False;0.25;Bruxisme;bruxisme, classe II squelettique, prognathisme maxillaire, rétrognathie maxillaire;bruxisme;;classe ii squelettique, prognathisme maxillaire, retrognathie maxillaire;modere;modéré, division 1, division 2, modéré;;;dents;dents leger ?;8190.8
Anb> 4°, enlever immédiat différé programmé, Anb = 4° et mandibule en arrière grave bénigne ?;True;LIST;LIST;False;1;4;3;False;0.25;Classe II squelettique;classe ii squelettique, avulsion, classe i squelettique, rétrognathie mandibulaire;classe ii squelettique;;avulsion, classe i squelettique, retrognathie mandibulaire;;immédiat, différé, programmé, sévère, modéré;;;;?;8465.1
maxillaire en arrière bénin, classe ii squelettique div 1, 24 ans ou moins et toutes ?;False;LIST;COUNT;False;1;4;3;False;0.5;rétrognathie maxillaire;rétrognathie maxillaire, classe II squelettique;retrognathie maxillaire;;classe ii squelettique;modere;modéré, division 1;;24 ans et moins, Toutes;;?;6889.7
etudiantes, arrachage dentaire, beance droite latérale bénigne frontale complexe et Anb= 3° ?;True;LIST;LIST;False;2;5;3;False;0.0;;avulsion, béance, classe i squelettique;;;avulsion, beance, classe i squelettique;;droit, latéral, modéré, antérieur, sévère;Féminin, étudiante;étudiante, étudiante;;?;8808.7
rétrognathie maxillaire léger, mineur, classe 2 squelettique et Anb < 0° ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;rétrognathie maxillaire;rétrognathie maxillaire, classe II squelettique, classe III squelettique;retrognathie maxillaire;;classe ii squelettique, classe iii squelettique;modere;modéré;;Mineur;;?;6619.1
maxillaire proéminent, teenager, usure dentaire sévère dents le jour la nuit bénin et classe ii squelettique ?;True;LIST;LIST;False;1;5;4;False;0.3333333333333333;Prognathisme maxillaire;Prognathisme maxillaire, Bruxisme, Bruxisme, classe II squelettique;prognathisme maxillaire;;bruxisme, classe ii squelettique;;sévère, diurne, nocturne, modéré;;Adolescent;;?;9192.8
Anb =2°, avulsion, Anb < 0° et grincent des dents léger nuitamment dents ?;True;LIST;LIST;False;1;4;3;False;0.25;Classe I squelettique;classe i squelettique, avulsion, classe iii squelettique, bruxisme;classe i squelettique;;avulsion, bruxisme, classe iii squelettique;;modéré, nocturne;;;;dents ?;7147.3
classe 3 squelettique, Classe II squelettique div1 division 2, Rétromandibulisme bénigne et tout petits ?;True;LIST;LIST;False;1;0;-1;False;0.0;Classe III squelettique;;;classe iii squelettique;;;;;;;;619.4
Bruxisme diurne marqué modéré, m, Anb<0° et classe ii squelettique ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;Bruxisme;Bruxisme, classe iii squelettique, classe ii squelettique;bruxisme;;classe ii squelettique, classe iii squelettique;diurne, modere, severe;diurne, sévère, modéré;;Masculin;;?;7455.8
z generation, Anb >4°, rétromaxillaire et Anb =0° idéale ?;True;LIST;LIST;False;1;4;3;False;0.0;;classe ii squelettique, rétrognathie maxillaire, classe i squelettique;;;classe i squelettique, classe ii squelettique, retrognathie maxillaire;;idéal;Génération Z;Génération Z;;?;7250.2
maxillaire reculé majeur léger, mandibule proéminente bénin, classe 1 squelettique idéale et de sexe masculin ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;rétrognathie maxillaire;rétrognathie maxillaire, Prognathisme mandibulaire, classe i squelettique;retrognathie maxillaire;;classe i squelettique, prognathisme mandibulaire;modere, severe;sévère, modéré, modéré, idéal;;Masculin;;?;8006.2
maxillaire avancé majeur, rétromandibulaire importante modérée, moins de 20 ans et grinding léger nuitamment ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;Prognathisme maxillaire;Prognathisme maxillaire, rétrognathie mandibulaire, Bruxisme;prognathisme maxillaire;;bruxisme, retrognathie mandibulaire;severe;sévère, modéré, modéré, nocturne;;Moins de 20 ans;;?;7808.0
Anb<0°, mandibule en arrière modérée grave, femmes et Anb=0° ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;Classe III squelettique;classe iii squelettique, rétrognathie mandibulaire, classe i squelettique;classe iii squelettique;;classe i squelettique, retrognathie mandibulaire;;modéré, sévère;;Femmes;;?;7272.4
preadolescent, Classe II squelettique div1 div2, avulsion immédiate différé et espace entre les dents bénigne frontale gauche ?;True;LIST;LIST;False;1;4;3;False;0.0;;classe II squelettique, avulsion, béance;;;avulsion, beance, classe ii squelettique;;division 1, division 2, immédiat, différé, modéré, antérieur, gauche;Pré adolescent;Pré adolescent;;?;8568.2
mandibule reculée importante modérée, mandibule proéminente marqué, feminin et Classe II squelettique ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;rétrognathie mandibulaire;rétrognathie mandibulaire, Prognathisme mandibulaire, classe II squelettique;retrognathie mandibulaire;;classe ii squelettique, prognathisme mandibulaire;moderee, severe;sévère, modéré, sévère;;Féminin;;?;7754.5
tout, classe i squelettique harmonieuse, extraction dentaire programmée immédiat différé et Prognathisme mandibulaire grave léger ?;True;LIST;LIST;False;1;4;3;False;0.0;;classe i squelettique, avulsion, Prognathisme mandibulaire;;;avulsion, classe i squelettique, prognathisme mandibulaire;;idéal, programmé, immédiat, différé, sévère, modéré;Tous;Tous;;?;8388.5
prognathie mandibulaire bénin, clenching dentaires, mandibule en retrait bénigne et jeunes adultes ?;True;LIST;LIST;False;1;4;3;False;0.3333333333333333;Prognathisme mandibulaire;Prognathisme mandibulaire, Bruxisme, rétrognathie mandibulaire;prognathisme mandibulaire;;bruxisme, retrognathie mandibulaire;modere;modéré, modéré;;Jeune adulte;;?;7273.3
