# fakerecherche.csv V1.0.2 - 07/01/2026 21:14:33;;;;;;;;;;;;;;;;;;;;;;;
module;timestamp;temps_ms;languesaisie;langueutilisee;modulelangue;questionoriginale;question;filtres;sql;tri;base;mode;moteur;nb_patients;pathologies;ages;residu;erreur;session_id;ip_utilisateur;rating;type_probleme;commentaire
search.py;04/12/2025 17:26;126;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;d598cc39-2ed2-4969-b564-2aac911f5e01;127.0.0.1;👍;;Top, rien à redire.
search.py;04/12/2025 21:27;42;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;5679a507-4ecb-4804-aa71-7b5392dbcac3;127.0.0.1;👎;Autre;Résultats incohérents.
search.py;05/12/2025 01:41;21;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;a6bd4d3e-5f25-49b9-b4d4-3e305c127095;192.168.1.124;👎;Pas assez de patients;Je sais qu'il y a plus de patients.
search.py;05/12/2025 03:33;63;auto;fr;deepl;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;0;;;;Erreur chargement références: charger_modeles_ia() got an unexpected keyword argument 'debug';077a93eb-a180-425a-a90a-7565e33834d0;127.0.0.1;👍;;Bravo, ça fonctionne parfaitement.
search.py;05/12/2025 16:08;2951;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;100;;;bruxisme;;088bfe95-ae8e-4a71-b0a2-c40134c1dff3;192.168.1.121;👎;Trop de patients;Recherche trop permissive.
search.py;05/12/2025 19:08;18;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;2f38d611-adc1-48f6-990e-3fb0366e3a0a;127.0.0.1;👎;Bug IHM;Interface figée.
search.py;06/12/2025 01:13;4033;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;1638330d-7e2b-4206-af8a-8840ebcb8377;192.168.1.146;👍;;Excellent ! Exactement ce que je cherchais.
search.py;06/12/2025 05:23;637;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;0;;;;Erreur chargement références: charger_modeles_ia() got an unexpected keyword argument 'debug';3ad34c65-28dd-4670-b3d2-f77435d6a6b2;192.168.1.168;👍;;Outil performant, je recommande.
search.py;06/12/2025 05:42;781;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;6caf0df4-ee50-421e-9526-936c57c19b86;127.0.0.1;👎;Bug IHM;Les filtres ne fonctionnent pas.
search.py;06/12/2025 08:56;146;Auto;fr;deepl;Montre-moi les patients ayant une morsure;Montre-moi les patients ayant une morsure;;;;base100.db;standard;;100;;;montre moi les patients ayant une morsure;;730ae790-fb32-4d1d-8897-ba8c921a649d;127.0.0.1;👎;Trop de patients;Je voulais moins de patients.
search.py;06/12/2025 12:11;43;Auto;fr;glossaire_fr;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""bruxisme"", ""label"": ""bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""bruxisme""}}]}";;;base100.db;standard;;26;bruxisme;;;;075ea03c-6b78-4359-9e6f-067754fb65f1;192.168.1.198;👍;;Top, rien à redire.
search.py;06/12/2025 15:21;95;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;e7f63afe-71a0-46e2-a9b5-708a324172a8;127.0.0.1;👎;Autre;Comportement bizarre.
search.py;07/12/2025 05:53;21;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;7e96a9d3-d3f6-4e27-af92-00c43c3e5e44;127.0.0.1;👎;Autre;Je ne sais pas quoi penser.
search.py;07/12/2025 07:05;37;Auto;ja;glossaire_resolution;歯軋り;bruxomanie;;;;base100.db;standard;;26;;;;;b746fb33-19c7-4b09-90c7-b7e09d39678d;127.0.0.1;👎;Trop de patients;Beaucoup trop de résultats, impossible de trouver le bon.
search.py;07/12/2025 10:07;2482;ja;ja;glossaire_resolution;bruxisme;bruxisme;;;;base100.db;standard;;26;;;;;48149982-2ec6-4a6f-896b-826b5d4721b0;127.0.0.1;👎;Autre;Je ne sais pas quoi penser.
search.py;07/12/2025 13:56;142;Auto;fr;deepl;Montre-moi les patients ayant une morsure;Montre-moi les patients ayant une morsure;;;;base100.db;standard;;100;;;montre moi les patients ayant une morsure;;98c27220-1af9-474c-a3ce-c2901c4317d2;192.168.1.59;👎;Bug IHM;Affichage cassé sur mobile.
search.py;07/12/2025 20:58;3312;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;c84660b7-059d-40a1-94f2-b7f2a73344c2;127.0.0.1;👎;Pas assez de patients;Je sais qu'il y a plus de patients.
search.py;07/12/2025 22:01;289;ja;ja;glossaire_resolution;béance face;béance face;;;;base100.db;standard;;0;;;;;1c3f7387-50db-40a1-ad11-7906a01f1cc6;192.168.1.20;👎;Trop de patients;Je voulais moins de patients.
search.py;09/12/2025 04:42;208;Auto;fr;deepl;Montre-moi les patients ayant une supraclusion;Montre-moi les patients ayant une supraclusion;;;;base100.db;standard;;8;;;montre moi les patients ayant une;;c3ece79b-9b0e-41fa-9261-0939b0e68d84;192.168.1.32;👎;Autre;Besoin d'aide pour comprendre.
search.py;09/12/2025 22:19;4313;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base50000.db;standard;;12635;Bruxisme;;;;6105beb0-e6b4-45db-895e-470a714f8e43;127.0.0.1;👍;;Très satisfait de cette recherche.
search.py;10/12/2025 16:48;11;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;d23d240b-41b1-444b-a065-42df2a972d4e;192.168.1.41;👎;Bug IHM;Le scroll ne marche pas.
search.py;10/12/2025 16:52;61;ja;ja;glossaire_resolution;bruxisme;bruxisme;;;;base100.db;standard;;26;;;;;b8d22ea5-b991-46e4-a2ba-570009aba6d3;127.0.0.1;👍;;Top, rien à redire.
search.py;10/12/2025 18:09;54;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;6e6ad5c5-0462-474e-9c1a-fa8d694fbc05;127.0.0.1;👎;Pas assez de patients;Je sais qu'il y a plus de patients.
search.py;10/12/2025 18:28;1;auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;0;;;;Erreur chargement références: charger_modeles_ia() got an unexpected keyword argument 'debug';42232e92-fac4-429f-9ae7-253348f4d240;127.0.0.1;👎;Trop de patients;Filtres insuffisants.
search.py;10/12/2025 21:59;19;ja;ja;glossaire_resolution;がらんどう;béance;;;;base100.db;standard;;34;;;;;e6a541b8-fe82-48af-b37a-8b9e63e6016e;127.0.0.1;👎;Bug IHM;Bug visuel sur les cartes patients.
search.py;11/12/2025 09:15;85;Auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;standard;;26;;;;;9a61ceb4-e001-4982-82ee-813781cc8f58;127.0.0.1;👎;Trop de patients;Beaucoup trop de résultats, impossible de trouver le bon.
search.py;11/12/2025 22:23;27;Auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;standard;;26;;;;;48071daa-6947-4dbb-b2d4-8673de2fd263;127.0.0.1;👍;;Résultats très pertinents, merci !
search.py;12/12/2025 00:36;1084;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;7db7df19-fccb-4e63-893b-1d6a9bdc9085;192.168.1.207;👍;;Très satisfait de cette recherche.
search.py;12/12/2025 16:12;129;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;6ac37a94-89ae-451f-9f20-a8678fa409f1;127.0.0.1;👍;;Résultats très pertinents, merci !
search.py;12/12/2025 18:31;2985;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;100;;;bruxisme;;ebd24632-3153-4cb2-b5e0-e4170fb58eb2;192.168.1.45;👎;Autre;Quelque chose ne va pas.
search.py;12/12/2025 19:13;106;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;e33afe4c-9a0a-4877-afd0-c3d4a829c863;127.0.0.1;👎;Pas assez de patients;Recherche partielle seulement.
search.py;12/12/2025 21:05;34;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;88b83e64-f09e-4233-8b59-5a7c95367d82;127.0.0.1;👍;;Outil performant, je recommande.
search.py;13/12/2025 02:06;2101;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;100;;;bruxisme;;b9c4320c-71be-4c22-8c5f-229e70158ec3;192.168.1.207;👍;;Outil performant, je recommande.
search.py;13/12/2025 04:14;4427;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base50000.db;standard;;12635;Bruxisme;;;;845b0e6f-c626-4ac9-925d-5e58f1730887;192.168.1.24;👎;Trop de patients;Trop de faux positifs.
search.py;13/12/2025 05:32;28;ja;ja;glossaire_resolution;béance face;béance face;;;;base100.db;standard;;0;;;;;4997039b-a30d-4c33-beb1-787d74581b5c;127.0.0.1;👍;;Outil performant, je recommande.
search.py;13/12/2025 09:02;2575;es;es;glossaire;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;100;;;bruxisme;;8926e8ef-df52-4ebc-90aa-fa3a8fdf1a52;127.0.0.1;👍;;Parfait, recherche rapide et efficace.
search.py;14/12/2025 02:18;813;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;14da61d3-1a85-4745-9809-bb66b16d1596;127.0.0.1;👎;Autre;Je ne sais pas quoi penser.
search.py;14/12/2025 04:29;266;ja;ja;glossaire_resolution;bruxisme;bruxisme;;;;base100.db;standard;;26;;;;;0cda7b08-c7b5-40b3-910e-0cb32371f888;127.0.0.1;👍;;Super outil, très pratique !
search.py;14/12/2025 06:32;4422;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;fa5b2f60-b87b-4074-bcea-279d039a1d22;127.0.0.1;👎;Pas assez de patients;Critères trop stricts.
search.py;14/12/2025 11:04;17;Auto;fr;glossaire_fr;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""bruxisme"", ""label"": ""bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""bruxisme""}}]}";;;base100.db;standard;;26;bruxisme;;;;23508f65-d4e0-4afd-a4f8-dbfdf25499d7;127.0.0.1;👎;Trop de patients;Filtres insuffisants.
search.py;14/12/2025 12:13;0;auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;0;;;;Erreur chargement références: charger_modeles_ia() got an unexpected keyword argument 'debug';6ec58f0e-5dea-4157-bf8f-3b20fc382177;127.0.0.1;👎;Pas assez de patients;La recherche ignore certains cas.
search.py;14/12/2025 13:18;79;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;052222e9-8ee5-4022-bfaa-2e27b3157ecb;127.0.0.1;👍;;Super outil, très pratique !
search.py;14/12/2025 15:01;331;es;es;;bruxisme;bruxisme;"{""criteres"": []}";;;base100.db;standard;;0;;;;Erreur chargement références: charger_modeles_ia() got an unexpected keyword argument 'debug';5491ea22-4e5b-4682-bbe8-ba4567be0505;127.0.0.1;👍;;Super outil, très pratique !
search.py;14/12/2025 19:20;12;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;d0249be9-9865-4a39-bf25-832eb0b4238b;192.168.1.127;👍;;Très satisfait de cette recherche.
search.py;14/12/2025 19:34;4030;ja;ja;;歯軋り;歯軋り;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""歯軋り"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;beb9430f-8aa3-4c6e-8fe4-05b17f884781;192.168.1.145;👍;;Génial, gain de temps énorme.
search.py;14/12/2025 21:19;22;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;7ff84d91-ae89-4fba-8385-4acb5809422b;127.0.0.1;👎;Autre;Fonctionnement étrange.
search.py;15/12/2025 11:06;4240;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;e5dd1971-2876-4149-883b-fc89d65a0eeb;127.0.0.1;👎;Trop de patients;La recherche est trop large.
search.py;15/12/2025 13:23;812;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;c833d109-79fe-46df-b75a-6339c9dbedac;127.0.0.1;👎;Autre;Quelque chose ne va pas.
search.py;15/12/2025 13:43;25;Auto;fr;fallback;bruxismeia;bruxismeia;"{""criteres"": []}";;;base100.db;standard;;100;;;bruxismeia;;e0f0144e-57a2-4697-a531-f6725b792dd7;127.0.0.1;👎;Bug IHM;Erreur d'affichage des résultats.
search.py;16/12/2025 09:02;12;Auto;fr;glossaire_fr;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""bruxisme"", ""label"": ""bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""bruxisme""}}]}";;;base100.db;standard;;26;bruxisme;;;;0d5aaf52-4f93-488f-842b-8ba07ab2e158;127.0.0.1;👎;Bug IHM;Bouton de recherche bloqué.
search.py;16/12/2025 20:06;36;ja;ja;glossaire_resolution;歯軋り;bruxomanie;;;;base100.db;standard;;26;;;;;25411b9a-e718-4c66-a4da-46f50b1aae0c;127.0.0.1;👎;Pas assez de patients;Manque des patients évidents.
search.py;16/12/2025 20:31;17;Auto;fr;glossaire_fr;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""bruxisme"", ""label"": ""bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""bruxisme""}}]}";;;base100.db;standard;;26;bruxisme;;;;f3ed177e-ed8c-4537-a244-3bacf7b43e4d;127.0.0.1;👎;Pas assez de patients;Base de données incomplète ?
search.py;16/12/2025 20:41;126;auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;standard;;100;;;bruxisme;;14f526d4-2f37-44cb-bf6c-683d5b85543f;127.0.0.1;👍;;Nickel chrome !
search.py;16/12/2025 21:04;18;Auto;ja;glossaire_resolution;歯軋り;bruxomanie;;;;base100.db;standard;;26;;;;;4b9e1c6d-5d95-4552-9a7c-b3ed58c2d6b3;127.0.0.1;👍;;Parfait, recherche rapide et efficace.
search.py;17/12/2025 01:30;3506;Auto;fr;glossaire_fr;bruxisme;bruxisme;;;;base100.db;standard;;26;;;;;1db42e8f-b474-4b1e-ba0e-f66279eb1bcc;127.0.0.1;👎;Pas assez de patients;Aucun patient trouvé alors qu'il y en a.
search.py;17/12/2025 05:42;13;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;b57c1479-adb1-4ce4-8a08-fcd26f393054;127.0.0.1;👍;;Génial, gain de temps énorme.
search.py;17/12/2025 06:31;72;es;es;;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;13247664-5f3f-4057-91a9-6983a4e2d10b;127.0.0.1;👍;;Top, rien à redire.
search.py;17/12/2025 09:34;730;Auto;fr;fallback;bruxisme;bruxisme;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""bruxisme"", ""canonique"": ""Bruxisme"", ""label"": ""Bruxisme"", ""sql"": {""colonne"": ""canontags"", ""operateur"": ""="", ""valeur"": ""Bruxisme""}}]}";;;base100.db;standard;;26;Bruxisme;;;;efb9a7c2-8e8c-4b0c-97e1-5d19fa52cb86;127.0.0.1;👎;Pas assez de patients;Critères trop stricts.
search.py;18/12/2025 00:00;4854;Auto;fr;glossaire_fr;avec bruxisme avec pendulum de moins de 21.723 ans ?;avec bruxisme avec pendulum de moins de 21.723 ans ?;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""simule"", ""canonique"": ""Simule""}]}";;;base25000.db;standard;;25;Béance;;;;64310833-18b5-4612-8d89-7b37437da7ce;127.0.0.1;;;
search.py;18/12/2025 00:33;4307;en;en;deepl;Nombre of patients enfants ?;Nombre of patients enfants ?;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""simule"", ""canonique"": ""Simule""}]}";;;base25000.db;standard;;114;;;;;331411eb-188e-4a2e-9a8d-53a4d281cf90;127.0.0.1;👍;;Excellent ! Exactement ce que je cherchais.
search.py;18/12/2025 00:39;2630;ja;ja;glossaire_resolution;と がらんどう 側面|後 と 混合歯列 ?;と がらんどう 側面|後 と 混合歯列 ?;"{""criteres"": [{""type"": ""tag"", ""detecte"": ""simule"", ""canonique"": ""Simule""}]}";;;base25000.db;standard;;74;;;;;2f53799d-922d-4d23-8a5b-e2650d540799;192.168.1.107;;;
