# translations_kitviewmanuals_fr_en.csv V1.0.0 - 22/01/2026 15:09:00
"id";"section";"tag";"context";"fr";"en";"status"
"txt_0015";"gestion-patients";"p";"paragraphe";"Pour définir ou modifier la photo d'identité d'un patient :";"[AUTO] Pour définir ou modifier la photo d'identité d'un patient :";"TODO"
"txt_0016";"gestion-patients";"caption";"légende_image";"Fenêtre de création d'un nouveau patient";"[AUTO] Fenêtre de création d'un nouveau patient";"TODO"
"txt_0017";"gestion-patients";"caption";"légende_image";"Menu contextuel pour définir la photo d'identité";"[AUTO] Menu contextuel pour définir la photo d'identité";"TODO"
"txt_0018";"gestion-patients";"li";"liste";"Cliquez sur l'onglet **« Patient »**";"[AUTO] Cliquez sur l'onglet **« Patient »**";"TODO"
"txt_0019";"gestion-patients";"li";"liste";"Une fenêtre s'ouvre : remplissez les informations (Nom, Prénom, Date de naissance, Sexe)";"[AUTO] Une fenêtre s'ouvre : remplissez les informations (Nom, Prénom, Date de naissance, Sexe)";"TODO"
"txt_0020";"gestion-patients";"li";"liste";"Cliquez sur **« Valider »**";"[AUTO] Cliquez sur **« Valider »**";"TODO"
"txt_0021";"gestion-patients";"li";"liste";"Cliquez sur **« Paramètres »**";"[AUTO] Cliquez sur **« Paramètres »**";"TODO"
"txt_0022";"gestion-patients";"li";"liste";"Cliquez sur **« Administration »** puis **« Général »**";"[AUTO] Cliquez sur **« Administration »** puis **« Général »**";"TODO"
"txt_0023";"gestion-patients";"li";"liste";"Cochez **« Passer en mode administration »**";"[AUTO] Cochez **« Passer en mode administration »**";"TODO"
"txt_0024";"gestion-patients";"li";"liste";"Sélectionnez le patient à supprimer";"[AUTO] Sélectionnez le patient à supprimer";"TODO"
"txt_0025";"gestion-patients";"li";"liste";"Cliquez sur **« Patient »** → **« Supprimer le patient sélectionné »**";"[AUTO] Cliquez sur **« Patient »** → **« Supprimer le patient sélectionné »**";"TODO"
"txt_0026";"gestion-patients";"li";"liste";"Sélectionnez le patient dans la liste";"[AUTO] Sélectionnez le patient dans la liste";"TODO"
"txt_0027";"gestion-patients";"li";"liste";"Cliquez sur la photo que vous souhaitez utiliser comme photo d'identité";"[AUTO] Cliquez sur la photo que vous souhaitez utiliser comme photo d'identité";"TODO"
"txt_0028";"gestion-patients";"li";"liste";"Faites un **clic droit** sur la photo";"[AUTO] Faites un **clic droit** sur la photo";"TODO"
"txt_0029";"gestion-patients";"li";"liste";"Sélectionnez **« Patient »** → **« Photo d'identité »**";"[AUTO] Sélectionnez **« Patient »** → **« Photo d'identité »**";"TODO"
"txt_0030";"gestion-patients";"note";"note_warning";"⚠️ Attention | La suppression d'une fiche patient est définitive et supprime également toutes les photos et documents associés. Cette action nécessite le mode Administration.";"[AUTO] ⚠️ Attention | La suppression d'une fiche patient est définitive et supprime également toutes les photos et documents associés. Cette action nécessite le mode Administration.";"TODO"
"txt_0031";"personnalisation";"h2";"titre_section";"🎨 3. Personnalisation de l'interface";"[AUTO] 🎨 3. Personnalisation de l'interface";"TODO"
"txt_0032";"personnalisation";"h3";"sous_titre";"Onglets et style de présentation";"[AUTO] Onglets et style de présentation";"TODO"
"txt_0033";"personnalisation";"h3";"sous_titre";"Couleurs du bureau";"[AUTO] Couleurs du bureau";"TODO"
"txt_0034";"personnalisation";"h3";"sous_titre";"Taille des vignettes";"[AUTO] Taille des vignettes";"TODO"
"txt_0035";"personnalisation";"p";"paragraphe";"Kitview propose différents modes d'affichage de l'interface que vous pouvez personnaliser selon vos préférences.";"[AUTO] Kitview propose différents modes d'affichage de l'interface que vous pouvez personnaliser selon vos préférences.";"TODO"
"txt_0036";"personnalisation";"p";"paragraphe";"Pour personnaliser les couleurs de l'interface :";"[AUTO] Pour personnaliser les couleurs de l'interface :";"TODO"
"txt_0037";"personnalisation";"p";"paragraphe";"Vous pouvez ajuster la taille des miniatures affichées :";"[AUTO] Vous pouvez ajuster la taille des miniatures affichées :";"TODO"
"txt_0038";"personnalisation";"li";"liste";"Cliquez sur **« Paramètres »**";"[AUTO] Cliquez sur **« Paramètres »**";"TODO"
"txt_0039";"personnalisation";"li";"liste";"Sélectionnez **« Affichage »** → **« Apparence »**";"[AUTO] Sélectionnez **« Affichage »** → **« Apparence »**";"TODO"
"txt_0040";"personnalisation";"li";"liste";"Cochez ou décochez les onglets souhaités";"[AUTO] Cochez ou décochez les onglets souhaités";"TODO"
"txt_0041";"personnalisation";"li";"liste";"Cliquez sur **« Bureaux »**";"[AUTO] Cliquez sur **« Bureaux »**";"TODO"
"txt_0042";"personnalisation";"li";"liste";"Sélectionnez **« Couleurs du bureau »**";"[AUTO] Sélectionnez **« Couleurs du bureau »**";"TODO"
"txt_0043";"personnalisation";"li";"liste";"Choisissez les couleurs souhaitées pour chaque élément";"[AUTO] Choisissez les couleurs souhaitées pour chaque élément";"TODO"
"txt_0044";"personnalisation";"li";"liste";"Cliquez sur **« OK »** pour valider";"[AUTO] Cliquez sur **« OK »** pour valider";"TODO"
"txt_0045";"personnalisation";"li";"liste";"Cliquez sur **« Paramètres »**";"[AUTO] Cliquez sur **« Paramètres »**";"TODO"
"txt_0046";"personnalisation";"li";"liste";"Sélectionnez **« Affichage »** → **« Résultats »**";"[AUTO] Sélectionnez **« Affichage »** → **« Résultats »**";"TODO"
"txt_0047";"personnalisation";"li";"liste";"Ajustez la valeur de **« Taille des vignettes »**";"[AUTO] Ajustez la valeur de **« Taille des vignettes »**";"TODO"
"txt_0048";"personnalisation";"li";"liste";"Cliquez sur **« Paramètres »**";"[AUTO] Cliquez sur **« Paramètres »**";"TODO"
"txt_0049";"personnalisation";"li";"liste";"Sélectionnez **« Affichage »** → **« Résultats »**";"[AUTO] Sélectionnez **« Affichage »** → **« Résultats »**";"TODO"
"txt_0050";"personnalisation";"li";"liste";"Modifiez la **« Couleur de sélection »**";"[AUTO] Modifiez la **« Couleur de sélection »**";"TODO"
"txt_0051";"personnalisation";"note";"note_tip";"💡 Conseil | Pensez à enregistrer votre bureau une fois les modifications effectuées : **Bureaux → Enregistrer le bureau courant**";"[AUTO] 💡 Conseil | Pensez à enregistrer votre bureau une fois les modifications effectuées : **Bureaux → Enregistrer le bureau courant**";"TODO"
"txt_0052";"import-export";"h2";"titre_section";"📥 4. Import / Export de documents";"[AUTO] 📥 4. Import / Export de documents";"TODO"
"txt_0053";"import-export";"h3";"sous_titre";"Importer des photos";"[AUTO] Importer des photos";"TODO"
"txt_0054";"import-export";"h3";"sous_titre";"Exporter des photos";"[AUTO] Exporter des photos";"TODO"
"txt_0055";"import-export";"h3";"sous_titre";"Glisser-déposer avancé";"[AUTO] Glisser-déposer avancé";"TODO"
"txt_0056";"import-export";"p";"paragraphe";"Plusieurs méthodes sont disponibles pour importer des documents dans un dossier patient :";"[AUTO] Plusieurs méthodes sont disponibles pour importer des documents dans un dossier patient :";"TODO"
"txt_0057";"import-export";"p";"paragraphe";"Vous pouvez importer directement les pièces jointes d'un email :";"[AUTO] Vous pouvez importer directement les pièces jointes d'un email :";"TODO"
"txt_0058";"import-export";"p";"paragraphe";"Pour exporter des photos vers Windows ou une clé USB :";"[AUTO] Pour exporter des photos vers Windows ou une clé USB :";"TODO"
"txt_0059";"import-export";"p";"paragraphe";"Le glisser-déposer fonctionne dans les deux sens :";"[AUTO] Le glisser-déposer fonctionne dans les deux sens :";"TODO"
"txt_0060";"import-export";"p";"paragraphe";"Pour personnaliser le nom des fichiers lors de l'export :";"[AUTO] Pour personnaliser le nom des fichiers lors de l'export :";"TODO"
"txt_0061";"import-export";"li";"liste";"Sélectionnez le patient concerné";"[AUTO] Sélectionnez le patient concerné";"TODO"
"txt_0062";"import-export";"li";"liste";"Ouvrez l'explorateur Windows avec vos photos";"[AUTO] Ouvrez l'explorateur Windows avec vos photos";"TODO"
"txt_0063";"import-export";"li";"liste";"Sélectionnez les photos à importer";"[AUTO] Sélectionnez les photos à importer";"TODO"
"txt_0064";"import-export";"li";"liste";"Glissez-déposez les photos dans la zone des vignettes de Kitview";"[AUTO] Glissez-déposez les photos dans la zone des vignettes de Kitview";"TODO"
"txt_0065";"import-export";"li";"liste";"Ouvrez l'email dans Outlook";"[AUTO] Ouvrez l'email dans Outlook";"TODO"
"txt_0066";"import-export";"li";"liste";"Sélectionnez la ou les pièces jointes";"[AUTO] Sélectionnez la ou les pièces jointes";"TODO"
"txt_0067";"import-export";"li";"liste";"Glissez-déposez dans Kitview";"[AUTO] Glissez-déposez dans Kitview";"TODO"
"txt_0068";"import-export";"li";"liste";"Sélectionnez la ou les photos à exporter";"[AUTO] Sélectionnez la ou les photos à exporter";"TODO"
"txt_0069";"import-export";"li";"liste";"Faites un **clic droit**";"[AUTO] Faites un **clic droit**";"TODO"
"txt_0070";"import-export";"li";"liste";"Sélectionnez **« Exporter »** → **« Export rapide »**";"[AUTO] Sélectionnez **« Exporter »** → **« Export rapide »**";"TODO"
"txt_0071";"import-export";"li";"liste";"Choisissez le dossier de destination";"[AUTO] Choisissez le dossier de destination";"TODO"
"txt_0072";"import-export";"li";"liste";"**Vers Kitview** : pour importer des fichiers";"[AUTO] **Vers Kitview** : pour importer des fichiers";"TODO"
"txt_0073";"import-export";"li";"liste";"**Depuis Kitview** : pour exporter vers Windows, email, etc.";"[AUTO] **Depuis Kitview** : pour exporter vers Windows, email, etc.";"TODO"
"txt_0074";"import-export";"li";"liste";"Cliquez sur **« Paramètres »**";"[AUTO] Cliquez sur **« Paramètres »**";"TODO"
"txt_0075";"import-export";"li";"liste";"Sélectionnez **« Courrier »**";"[AUTO] Sélectionnez **« Courrier »**";"TODO"
"txt_0076";"import-export";"li";"liste";"Configurez le format souhaité avec les variables disponibles (%n = nom, %p = prénom, etc.)";"[AUTO] Configurez le format souhaité avec les variables disponibles (%n = nom, %p = prénom, etc.)";"TODO"
"txt_0077";"seances";"h2";"titre_section";"📷 5. Séances photos";"[AUTO] 📷 5. Séances photos";"TODO"
"txt_0078";"seances";"h3";"sous_titre";"Protocole de séance";"[AUTO] Protocole de séance";"TODO"
"txt_0079";"seances";"h3";"sous_titre";"Acquisition WiFi";"[AUTO] Acquisition WiFi";"TODO"
"txt_0080";"seances";"p";"paragraphe";"Le protocole permet de guider la prise de photos selon un ordre prédéfini avec des gabarits.";"[AUTO] Le protocole permet de guider la prise de photos selon un ordre prédéfini avec des gabarits.";"TODO"
"txt_0081";"seances";"p";"paragraphe";"Kitview permet de recevoir les photos directement depuis un appareil photo WiFi :";"[AUTO] Kitview permet de recevoir les photos directement depuis un appareil photo WiFi :";"TODO"
"txt_0082";"seances";"caption";"légende_image";"Interface du mode séance avec les gabarits";"[AUTO] Interface du mode séance avec les gabarits";"TODO"
"txt_0083";"seances";"li";"liste";"Sélectionnez le patient";"[AUTO] Sélectionnez le patient";"TODO"
"txt_0084";"seances";"li";"liste";"Cliquez sur **« Séance »**";"[AUTO] Cliquez sur **« Séance »**";"TODO"
"txt_0085";"seances";"li";"liste";"Cliquez sur **« Commencer la séance »**";"[AUTO] Cliquez sur **« Commencer la séance »**";"TODO"
"txt_0086";"seances";"li";"liste";"Suivez les gabarits affichés pour prendre les photos dans l'ordre";"[AUTO] Suivez les gabarits affichés pour prendre les photos dans l'ordre";"TODO"
"txt_0087";"seances";"li";"liste";"Configurez votre appareil photo en mode WiFi";"[AUTO] Configurez votre appareil photo en mode WiFi";"TODO"
"txt_0088";"seances";"li";"liste";"Dans Kitview, cliquez sur **« Acquisition »**";"[AUTO] Dans Kitview, cliquez sur **« Acquisition »**";"TODO"
"txt_0089";"seances";"li";"liste";"Sélectionnez **« WiFi »**";"[AUTO] Sélectionnez **« WiFi »**";"TODO"
"txt_0090";"seances";"li";"liste";"Les photos sont reçues automatiquement";"[AUTO] Les photos sont reçues automatiquement";"TODO"
"txt_0091";"seances";"note";"note_info";"ℹ️ Information | L'appareil photo et l'ordinateur doivent être connectés au même réseau WiFi.";"[AUTO] ℹ️ Information | L'appareil photo et l'ordinateur doivent être connectés au même réseau WiFi.";"TODO"
"txt_0092";"gabarits";"h2";"titre_section";"🏷️ 6. Gabarits et mots-clés";"[AUTO] 🏷️ 6. Gabarits et mots-clés";"TODO"
"txt_0093";"gabarits";"h3";"sous_titre";"Étape 1 : Créer le mot-clé dans le dictionnaire";"[AUTO] Étape 1 : Créer le mot-clé dans le dictionnaire";"TODO"
"txt_0094";"gabarits";"h3";"sous_titre";"Étape 2 : Créer le gabarit";"[AUTO] Étape 2 : Créer le gabarit";"TODO"
"txt_0095";"gabarits";"h3";"sous_titre";"Étape 3 : Créer le filtre (collection)";"[AUTO] Étape 3 : Créer le filtre (collection)";"TODO"
"txt_0096";"gabarits";"p";"paragraphe";"Les gabarits permettent de classer automatiquement vos photos grâce aux mots-clés associés. La création d'un gabarit personnalisé se fait en 3 étapes :";"[AUTO] Les gabarits permettent de classer automatiquement vos photos grâce aux mots-clés associés. La création d'un gabarit personnalisé se fait en 3 étapes :";"TODO"
"txt_0097";"gabarits";"caption";"légende_image";"Interface de gestion du thésaurus";"[AUTO] Interface de gestion du thésaurus";"TODO"
"txt_0098";"gabarits";"caption";"légende_image";"Fenêtre de création d'un gabarit";"[AUTO] Fenêtre de création d'un gabarit";"TODO"
"txt_0099";"gabarits";"li";"liste";"Cliquez sur **« Paramètres »**";"[AUTO] Cliquez sur **« Paramètres »**";"TODO"
"txt_0100";"gabarits";"li";"liste";"Sélectionnez **« Dictionnaire »** → **« Thésaurus de votre domaine »**";"[AUTO] Sélectionnez **« Dictionnaire »** → **« Thésaurus de votre domaine »**";"TODO"
"txt_0101";"gabarits";"li";"liste";"Cliquez sur **« Tout développer »** pour voir toutes les familles";"[AUTO] Cliquez sur **« Tout développer »** pour voir toutes les familles";"TODO"
"txt_0102";"gabarits";"li";"liste";"Positionnez-vous sur la famille appropriée";"[AUTO] Positionnez-vous sur la famille appropriée";"TODO"
"txt_0103";"gabarits";"li";"liste";"Cliquez sur **« Créer une nouvelle étiquette »**";"[AUTO] Cliquez sur **« Créer une nouvelle étiquette »**";"TODO"
"txt_0104";"gabarits";"li";"liste";"Cliquez sur **« Paramètres »**";"[AUTO] Cliquez sur **« Paramètres »**";"TODO"
"txt_0105";"gabarits";"li";"liste";"Sélectionnez **« Gabarits »** → **« Boîte à outils »**";"[AUTO] Sélectionnez **« Gabarits »** → **« Boîte à outils »**";"TODO"
"txt_0106";"gabarits";"li";"liste";"Faites un clic droit sur une famille → **« Ajouter »** pour créer une nouvelle famille";"[AUTO] Faites un clic droit sur une famille → **« Ajouter »** pour créer une nouvelle famille";"TODO"
"txt_0107";"gabarits";"li";"liste";"Cliquez sur **« Créer un nouveau gabarit »**";"[AUTO] Cliquez sur **« Créer un nouveau gabarit »**";"TODO"
"txt_0108";"gabarits";"li";"liste";"Cliquez sur **« Charger une image »** pour ajouter une image au gabarit";"[AUTO] Cliquez sur **« Charger une image »** pour ajouter une image au gabarit";"TODO"
"txt_0109";"gabarits";"li";"liste";"Remplissez le champ **« Désignation »**";"[AUTO] Remplissez le champ **« Désignation »**";"TODO"
"txt_0110";"gabarits";"li";"liste";"Double-cliquez sur la famille créée pour associer le mot-clé";"[AUTO] Double-cliquez sur la famille créée pour associer le mot-clé";"TODO"
"txt_0111";"gabarits";"li";"liste";"Cliquez sur **« Valider »**";"[AUTO] Cliquez sur **« Valider »**";"TODO"
"txt_0112";"gabarits";"li";"liste";"Faites un clic droit sur **« Tous »** dans l'arborescence";"[AUTO] Faites un clic droit sur **« Tous »** dans l'arborescence";"TODO"
"txt_0113";"gabarits";"li";"liste";"Sélectionnez **« Ajouter une collection à la racine »**";"[AUTO] Sélectionnez **« Ajouter une collection à la racine »**";"TODO"
"txt_0114";"gabarits";"li";"liste";"Donnez un nom à la collection (identique au mot-clé)";"[AUTO] Donnez un nom à la collection (identique au mot-clé)";"TODO"
"txt_0115";"gabarits";"li";"liste";"Cliquez sur **« Ajouter une condition »**";"[AUTO] Cliquez sur **« Ajouter une condition »**";"TODO"
"txt_0116";"gabarits";"li";"liste";"Sélectionnez le mot-clé créé précédemment";"[AUTO] Sélectionnez le mot-clé créé précédemment";"TODO"
"txt_0117";"gabarits";"li";"liste";"Cliquez sur **« Valider »**";"[AUTO] Cliquez sur **« Valider »**";"TODO"
"txt_0118";"gabarits";"li";"liste";"Cliquez sur **« Paramètres »** → **« Gabarits »** → **« Boîte à outils »**";"[AUTO] Cliquez sur **« Paramètres »** → **« Gabarits »** → **« Boîte à outils »**";"TODO"
"txt_0119";"gabarits";"li";"liste";"Sélectionnez le gabarit à modifier";"[AUTO] Sélectionnez le gabarit à modifier";"TODO"
"txt_0120";"gabarits";"li";"liste";"Cliquez sur **« Modifier le gabarit sélectionné »**";"[AUTO] Cliquez sur **« Modifier le gabarit sélectionné »**";"TODO"
"txt_0121";"gabarits";"li";"liste";"Cliquez sur **« Charger une image »**";"[AUTO] Cliquez sur **« Charger une image »**";"TODO"
"txt_0122";"gabarits";"li";"liste";"Sélectionnez la nouvelle image";"[AUTO] Sélectionnez la nouvelle image";"TODO"
"txt_0123";"gabarits";"li";"liste";"Cliquez sur **« Valider »**";"[AUTO] Cliquez sur **« Valider »**";"TODO"
"txt_0124";"gabarits";"note";"note_tip";"💡 Conseil | Une fois vos gabarits créés, allez dans l'onglet « Gabarit » et cliquez sur le bouton « Rafraîchir » pour voir apparaître vos nouvelles créations.";"[AUTO] 💡 Conseil | Une fois vos gabarits créés, allez dans l'onglet « Gabarit » et cliquez sur le bouton « Rafraîchir » pour voir apparaître vos nouvelles créations.";"TODO"
"txt_0125";"viewers";"h2";"titre_section";"🖼️ 7. Viewers";"[AUTO] 🖼️ 7. Viewers";"TODO"
"txt_0126";"viewers";"h3";"sous_titre";"Présentation des viewers";"[AUTO] Présentation des viewers";"TODO"
"txt_0127";"viewers";"h3";"sous_titre";"Personnaliser les viewers";"[AUTO] Personnaliser les viewers";"TODO"
"txt_0128";"viewers";"h3";"sous_titre";"Ajouter des viewers";"[AUTO] Ajouter des viewers";"TODO"
"txt_0129";"viewers";"p";"paragraphe";"Les viewers sont des zones d'affichage personnalisables qui permettent de visualiser les photos en grand format. Vous pouvez en avoir autant que vous le souhaitez.";"[AUTO] Les viewers sont des zones d'affichage personnalisables qui permettent de visualiser les photos en grand format. Vous pouvez en avoir autant que vous le souhaitez.";"TODO"
"txt_0130";"viewers";"p";"paragraphe";"Kitview propose plusieurs modes d'affichage :";"[AUTO] Kitview propose plusieurs modes d'affichage :";"TODO"
"txt_0131";"viewers";"p";"paragraphe";"Pour modifier les informations affichées sur les photos (date, nom, etc.) :";"[AUTO] Pour modifier les informations affichées sur les photos (date, nom, etc.) :";"TODO"
"txt_0132";"viewers";"caption";"légende_image";"Mode 1 Vue";"[AUTO] Mode 1 Vue";"TODO"
"txt_0133";"viewers";"caption";"légende_image";"Mode 2 Vues";"[AUTO] Mode 2 Vues";"TODO"
"txt_0134";"viewers";"caption";"légende_image";"Mode 4 Vues";"[AUTO] Mode 4 Vues";"TODO"
"txt_0135";"viewers";"li";"liste";"**1 Vue** : une seule photo en grand";"[AUTO] **1 Vue** : une seule photo en grand";"TODO"
"txt_0136";"viewers";"li";"liste";"**2 Vues** : deux photos côte à côte pour comparaison";"[AUTO] **2 Vues** : deux photos côte à côte pour comparaison";"TODO"
"txt_0137";"viewers";"li";"liste";"**4 Vues** : quatre photos pour vue d'ensemble";"[AUTO] **4 Vues** : quatre photos pour vue d'ensemble";"TODO"
"txt_0138";"viewers";"li";"liste";"**Gabarits** : affichage selon les templates";"[AUTO] **Gabarits** : affichage selon les templates";"TODO"
"txt_0139";"viewers";"li";"liste";"**Portfolio** : vue en galerie";"[AUTO] **Portfolio** : vue en galerie";"TODO"
"txt_0140";"viewers";"li";"liste";"Positionnez-vous dans l'onglet **« 1 Vue »**, **« 2 Vues »** ou **« 4 Vues »**";"[AUTO] Positionnez-vous dans l'onglet **« 1 Vue »**, **« 2 Vues »** ou **« 4 Vues »**";"TODO"
"txt_0141";"viewers";"li";"liste";"Cliquez sur la photo souhaitée ou faites un glisser-déposer";"[AUTO] Cliquez sur la photo souhaitée ou faites un glisser-déposer";"TODO"
"txt_0142";"viewers";"li";"liste";"En mode 4 vues, cliquez sur l'icône **« Réorganiser les fenêtres sœurs »** en haut à droite";"[AUTO] En mode 4 vues, cliquez sur l'icône **« Réorganiser les fenêtres sœurs »** en haut à droite";"TODO"
"txt_0143";"viewers";"li";"liste";"Pour ajuster manuellement : positionnez-vous sur la ligne de séparation (une double flèche apparaît)";"[AUTO] Pour ajuster manuellement : positionnez-vous sur la ligne de séparation (une double flèche apparaît)";"TODO"
"txt_0144";"viewers";"li";"liste";"Maintenez le clic gauche et ajustez";"[AUTO] Maintenez le clic gauche et ajustez";"TODO"
"txt_0145";"viewers";"li";"liste";"Faites un clic droit dans l'espace du viewer";"[AUTO] Faites un clic droit dans l'espace du viewer";"TODO"
"txt_0146";"viewers";"li";"liste";"Cliquez sur **« Personnaliser les menus »**";"[AUTO] Cliquez sur **« Personnaliser les menus »**";"TODO"
"txt_0147";"viewers";"li";"liste";"Sélectionnez les barres d'outils souhaitées";"[AUTO] Sélectionnez les barres d'outils souhaitées";"TODO"
"txt_0148";"viewers";"li";"liste";"Pour appliquer à tous les viewers : clic droit → **« Appliquer ce menu aux autres viewers »**";"[AUTO] Pour appliquer à tous les viewers : clic droit → **« Appliquer ce menu aux autres viewers »**";"TODO"
"txt_0149";"viewers";"li";"liste";"Cliquez sur **« Paramètres »**";"[AUTO] Cliquez sur **« Paramètres »**";"TODO"
"txt_0150";"viewers";"li";"liste";"Sélectionnez **« Affichage »** → **« Divers »**";"[AUTO] Sélectionnez **« Affichage »** → **« Divers »**";"TODO"
"txt_0151";"viewers";"li";"liste";"Double-cliquez sur **« Viewers »**";"[AUTO] Double-cliquez sur **« Viewers »**";"TODO"
"txt_0152";"viewers";"li";"liste";"Modifiez la taille, la couleur et les informations affichées";"[AUTO] Modifiez la taille, la couleur et les informations affichées";"TODO"
"txt_0153";"viewers";"li";"liste";"Utilisez le **« ? »** pour voir les codes disponibles (%c = date, %n = nom, etc.)";"[AUTO] Utilisez le **« ? »** pour voir les codes disponibles (%c = date, %n = nom, etc.)";"TODO"
"txt_0154";"viewers";"li";"liste";"Cliquez sur **« Paramètres »** → **« Administration »** → **« Général »**";"[AUTO] Cliquez sur **« Paramètres »** → **« Administration »** → **« Général »**";"TODO"
"txt_0155";"viewers";"li";"liste";"Cochez **« Mode Expert »**";"[AUTO] Cochez **« Mode Expert »**";"TODO"
"txt_0156";"viewers";"li";"liste";"Cliquez sur **« Bureaux »** → **« Réorganiser le bureau »**";"[AUTO] Cliquez sur **« Bureaux »** → **« Réorganiser le bureau »**";"TODO"
"txt_0157";"viewers";"li";"liste";"Des icônes apparaissent sur l'interface";"[AUTO] Des icônes apparaissent sur l'interface";"TODO"
"txt_0158";"viewers";"li";"liste";"Dans l'onglet **« Viewer »**, cliquez sur **« Ajouter un viewer »**";"[AUTO] Dans l'onglet **« Viewer »**, cliquez sur **« Ajouter un viewer »**";"TODO"
"txt_0159";"viewers";"li";"liste";"Une fenêtre viewer s'ouvre : déplacez-la à l'emplacement souhaité en utilisant les flèches directionnelles";"[AUTO] Une fenêtre viewer s'ouvre : déplacez-la à l'emplacement souhaité en utilisant les flèches directionnelles";"TODO"
"txt_0160";"viewers";"li";"liste";"Pour renommer l'onglet : clic droit → **« Rename »**";"[AUTO] Pour renommer l'onglet : clic droit → **« Rename »**";"TODO"
"txt_0161";"viewers";"note";"note_tip";"💡 Rappel glisser-déposer | Sélectionnez la photo, maintenez le clic gauche appuyé, puis relâchez au bon endroit.";"[AUTO] 💡 Rappel glisser-déposer | Sélectionnez la photo, maintenez le clic gauche appuyé, puis relâchez au bon endroit.";"TODO"
"txt_0162";"viewers";"note";"note_warning";"⚠️ Important | N'oubliez pas d'enregistrer votre bureau après les modifications : **Bureaux → Enregistrer le bureau courant**";"[AUTO] ⚠️ Important | N'oubliez pas d'enregistrer votre bureau après les modifications : **Bureaux → Enregistrer le bureau courant**";"TODO"
"txt_0163";"modification-photos";"h2";"titre_section";"✏️ 8. Modification de photos";"[AUTO] ✏️ 8. Modification de photos";"TODO"
"txt_0164";"modification-photos";"h3";"sous_titre";"Copier-coller une photo";"[AUTO] Copier-coller une photo";"TODO"
"txt_0165";"modification-photos";"h3";"sous_titre";"Modifier la luminosité";"[AUTO] Modifier la luminosité";"TODO"
"txt_0166";"modification-photos";"h3";"sous_titre";"Recadrer une photo";"[AUTO] Recadrer une photo";"TODO"
"txt_0167";"modification-photos";"p";"paragraphe";"Pour dupliquer une photo dans le dossier patient :";"[AUTO] Pour dupliquer une photo dans le dossier patient :";"TODO"
"txt_0168";"modification-photos";"p";"paragraphe";"Si vous avez modifié une photo et souhaitez revenir à l'original :";"[AUTO] Si vous avez modifié une photo et souhaitez revenir à l'original :";"TODO"
"txt_0169";"modification-photos";"p";"paragraphe";"Pour des retouches plus avancées avec un éditeur externe :";"[AUTO] Pour des retouches plus avancées avec un éditeur externe :";"TODO"
"txt_0170";"modification-photos";"p";"paragraphe";"Pour sélectionner et conserver uniquement une zone de la photo :";"[AUTO] Pour sélectionner et conserver uniquement une zone de la photo :";"TODO"
"txt_0171";"modification-photos";"caption";"légende_image";"Interface de réglage luminosité/contraste";"[AUTO] Interface de réglage luminosité/contraste";"TODO"
