nomdufichier;version;timestamp
conv_tagssaisis_propre.md;V1.0.0;08/12/2025 19:43:02
tagssaisis_corriges.csv;V1.0.0;08/12/2025 19:44:02
Prompt_testsdetections.md;V1.0.0;08/12/2025 20:29:02
cerbere.py;V1.0.5;31/12/2025 10:25:47
ages.csv;V1.0.0;08/12/2025 22:09:36
conv_detagdetag.md;V1.0.3;08/12/2025 23:34:38
Prompt_detlang.md;V1.0.5;11/12/2025 17:44:46
Prompt_detcount_detage_detall.md;V1.0.1;08/12/2025 23:34:38
Prompt_dettags_detadjs.md;V1.0.2;16/12/2025 18:34:11
conv_detage_co.md;V1.0.4;15/12/2025 18:48:45
conv_dettags_detadjs.md;V1.0.2;09/12/2025 22:02:57
detadjs.py;V1.0.11;07/01/2026 13:54:48
detage.py;V1.0.5;20/12/2025 16:18:33
detall.py;V1.0.10;21/01/2026 18:12:57
detcount.py;V1.0.1;21/01/2026 18:12:57
dettags.py;V1.0.15;07/01/2026 13:54:48
phrases.csv;V1.0.0;09/12/2025 06:05:42
conv_detlang.md;V1.0.0;09/12/2025 12:04:48
detlang.py;V1.0.2;11/12/2025 17:44:46
Prompt_glossaire.md;V1.0.0;09/12/2025 12:04:48
traduis.py;V1.0.11;26/12/2025 20:09:20
detecte.py;V1.0.1;09/12/2025 22:02:57
detquals.py;V1.0.1;09/12/2025 22:02:58
motsvides.py;V1.0.2;17/12/2025 17:14:35
Prompt_detecte.md;V1.0.1;09/12/2025 22:02:58
Prompt_detquals.md;V1.0.1;09/12/2025 22:02:58
Prompt_motsvides.md;V1.0.1;09/12/2025 22:02:58
conv_questionsavecréponses.md;V1.0.0;09/12/2025 21:27:57
mpats100.csv;V1.0.0;09/12/2025 21:27:57
Prompt_questions.md;V1.0.0;09/12/2025 21:27:57
qpats100.csv;V1.0.0;09/12/2025 21:27:57
questions.py;V1.0.2;17/12/2025 15:14:32
glossaire.csv;V1.0.3;07/01/2026 12:49:44
motsvides.csv;V1.0.1;13/12/2025 20:13:38
conv_prompt_discriminants.md;V1.0.2;11/12/2025 17:44:46
discriminants.csv;V1.0.0;10/12/2025 12:42:43
discriminants.py;V1.0.0;10/12/2025 12:42:43
Prompt_discriminants.md;V1.0.0;10/12/2025 12:42:43
pathologies_thai_utf8_sansBOM.csv;V1.0.0;10/12/2025 13:23:11
anglesANBSNAorhodontie.md;V1.0.0;11/12/2025 17:42:46
Analyse_technique_web1.md;V1.0.0;11/12/2025 17:45:46
Prompt_detage_structure.md;V1.0.0;11/12/2025 18:47:57
Prompt_detall_v2.md;V1.0.0;11/12/2025 18:47:57
Prompt_detangles.md;V1.0.0;11/12/2025 18:47:57
tagssaisis.xlsx;V1.0.0;11/12/2025 20:33:58
angles.csv;V1.0.8;14/01/2026 17:23:12
conv_angles.py.md;V1.0.4;12/12/2025 17:04:38
detangles.py;V1.0.10;14/01/2026 17:23:12
questionspats100.csv;V1.0.0;12/12/2025 00:23:02
Prompt_standardise_tiret.md;V1.0.1;12/12/2025 17:00:37
standardise.py;V1.0.2;17/12/2025 19:22:56
conv_dettags_detadjs_V3.md;V1.0.0;12/12/2025 17:06:38
Prompt_chargebase.md;V1.0.2;12/12/2025 21:05:43
conv_ecuriesdaugias.md;V1.0.0;12/12/2025 18:27:39
genereformes.py;V1.0.2;15/12/2025 18:57:45
conv_extension_glossaire.md;V1.0.1;12/12/2025 20:52:42
conv_detectionia.md;V1.0.4;13/12/2025 21:44:39
detia.py;V1.0.30;28/01/2026 14:55:26
Prompt_detia.md;V1.0.0;12/12/2025 20:45:42
base100.db;V1.0.0;13/12/2025 11:52:54
chargebase.py;V1.0.0;13/12/2025 11:52:54
conv_chargebase.md;V1.0.0;13/12/2025 11:52:54
Prompt_chargebase.py.md;V1.0.0;13/12/2025 11:52:54
conv_patpatients.md;V1.0.1;15/12/2025 19:45:47
compdetect.py;V1.0.1;13/12/2025 21:44:39
base.txt;V1.0.0;15/12/2025 10:38:06
conv_cxja.md;V1.0.0;15/12/2025 17:02:43
flipflop_architecture.md;V1.0.0;15/12/2025 17:02:43
ja.md;V1.0.0;15/12/2025 17:02:43
Prompt_cx_flipflop.md;V1.0.0;15/12/2025 17:02:43
conv_cxcharge.md;V1.0.0;15/12/2025 17:47:44
cxchargepats.py;V1.0.3;24/12/2025 17:39:09
Prompt_cxchargepats.md;V1.0.2;24/12/2025 17:39:10
tagssaisis_corrige.csv;V1.0.1;15/12/2025 18:57:45
conv_tags_adjs.md;V1.0.6;17/12/2025 14:53:32
Prompt_tags2syn.md;V1.0.0;16/12/2025 18:49:11
tags2syn.py;V1.0.3;27/12/2025 19:46:56
conv_traduit.md;V1.0.1;19/12/2025 12:35:40
conv_generepats.md;V1.0.4;19/12/2025 18:02:06
resettagsadjs.py;V1.0.2;27/12/2025 12:50:46
conv_embraceidentall.md;V1.0.7;20/12/2025 16:18:33
conv_cxchargepats.md;V1.0.4;24/12/2025 17:39:09
jsonsql.py;V1.0.11;28/01/2026 18:04:20
lancesql.py;V1.0.4;04/01/2026 08:22:35
trouve.py;V1.0.21;28/01/2026 18:04:20
conv_trouve.md;V1.0.0;18/12/2025 20:00:03
conv_search_server.md;V1.0.2;19/12/2025 19:18:08
gardefou.py;V1.0.0;19/12/2025 14:17:42
Prompt_gardefou.md;V1.0.0;19/12/2025 14:17:42
cadavreexquis.csv;V1.0.0;19/12/2025 16:45:04
conv_question_de.md;V1.0.5;25/12/2025 09:06:41
Prompt_templatequestion.md;V1.0.0;19/12/2025 16:45:04
tagsadjs_enrichi.xlsx;V1.0.0;19/12/2025 16:45:04
templatequestion.csv;V1.0.0;19/12/2025 16:45:04
templatequestion.py;V1.0.0;19/12/2025 16:45:04
generequestion.py;V1.0.2;20/12/2025 13:46:29
Prompt_generequestion.md;V1.0.2;20/12/2025 13:46:29
questions_generees.csv;V1.0.0;19/12/2025 17:56:06
conv_Trouveevolutions.md;V1.0.1;19/12/2025 19:03:08
testspats100.csv;V1.0.1;20/12/2025 13:46:29
Prompt_search.md;V1.0.0;19/12/2025 19:18:08
search.py;V1.0.29;28/01/2026 18:04:20
server.py;V1.0.53;30/01/2026 13:48:48
conv_radix50.md;V1.0.0;19/12/2025 19:28:09
conv_search_web.md;V1.0.3;22/12/2025 22:36:23
web2.html;V1.0.3;22/12/2025 21:41:21
fetch_parkings.py;V1.0.1;20/12/2025 16:15:33
api.md;V1.0.1;20/12/2025 16:23:33
main.py;V1.0.0;20/12/2025 16:23:33
requirements.txt;V1.0.0;20/12/2025 16:23:33
auditquestions.py;V1.0.1;25/12/2025 09:06:41
Guide_test_audit.md;V1.0.1;25/12/2025 09:06:41
Prompt_auditquestions.md;V1.0.1;25/12/2025 09:06:41
Prompt_search_v2.md;V1.0.0;22/12/2025 22:36:23
conv_web2.md;V1.0.1;24/12/2025 12:46:05
web3.html;V1.0.0;23/12/2025 11:04:38
conv_search_v2.md;V1.0.2;23/12/2025 18:13:46
ia.csv;V1.0.15;15/01/2026 20:34:25
conv_detia.md;V1.0.1;26/12/2025 10:10:34
frsynadjs_slim.csv;V1.0.0;23/12/2025 20:43:22
frsyntags_slim.csv;V1.0.0;23/12/2025 20:43:22
frtagsadjs_complet.csv;V1.0.0;23/12/2025 20:43:22
pipeline.py;V1.0.10;02/01/2026 20:44:36
Prompt_continuation_detia.md;V1.0.0;23/12/2025 20:53:23
web4.html;V1.0.0;24/12/2025 12:46:05
Prompt_web5.md;V1.0.0;24/12/2025 13:23:06
conv_py.md;V1.0.1;24/12/2025 20:03:14
conv_detiaslim_pipeline.md;V1.0.6;02/01/2026 02:10:09
Compare5.html;V1.0.0;24/12/2025 20:03:14
web5.html;V1.0.7;05/01/2026 15:49:36
Prompt_web5_suite.md;V1.0.0;24/12/2025 21:01:15
conv_web5suite.md;V1.0.0;24/12/2025 22:20:17
conv_web6.md;V1.0.6;26/12/2025 19:09:18
commentaires.csv;V1.0.1;26/12/2025 13:46:08
conv_creecommentaires.md;V1.0.4;26/12/2025 18:41:16
creecommentaires.py;V1.0.1;26/12/2025 13:46:08
Prompt_creecommentaires.md;V1.0.1;26/12/2025 13:46:08
conv_correctiondetraduit.py.md;V1.0.4;26/12/2025 20:09:20
Prompt_audit_csv_reader.md;V1.0.1;26/12/2025 18:15:15
commente.py;V1.0.2;26/12/2025 18:41:16
Prompt_commente.md;V1.0.0;26/12/2025 14:08:09
auditcsvreader.py;V1.0.1;26/12/2025 20:07:20
conv_auditcsvreader.md;V1.0.1;26/12/2025 20:07:20
csv_utils.py;V1.0.0;26/12/2025 20:07:20
conv_web6aveccommentaire.md;V1.0.1;26/12/2025 20:20:21
web6.html;V1.0.2;05/01/2026 15:49:36
conv_rating2.md;V1.0.3;27/12/2025 19:52:56
web7.html;V1.0.2;05/01/2026 15:49:36
conv_correctiondetia.md;V1.0.1;27/12/2025 12:50:46
conv_tag2synV2.md;V1.0.0;27/12/2025 19:46:56
conv_bruxismeestfrancais.md;V1.0.0;27/12/2025 19:51:56
web8.html;V1.0.6;05/01/2026 15:49:36
web8params.html;V1.0.1;30/12/2025 18:55:10
conv_ajout_rating_3.md;V1.0.0;27/12/2025 20:22:57
conv_tags2patterns.md;V1.0.0;27/12/2025 22:09:00
patternsadjsfr.csv;V1.0.0;27/12/2025 22:09:00
patternstagsfr.csv;V1.0.0;27/12/2025 22:09:00
tags2patterns.py;V1.0.0;27/12/2025 22:09:00
conv_langues.md;V1.0.2;28/12/2025 17:24:28
glossaire_classifie.csv;V1.0.0;28/12/2025 10:07:17
glossaire_classifie_final.csv;V1.0.0;28/12/2025 10:42:18
conv_newdettagsadjsia.md;V1.0.0;28/12/2025 17:21:27
conv_newsearch.md;V1.0.1;28/12/2025 17:52:29
adjectifs.csv;V1.0.0;28/12/2025 17:24:28
tags.csv;V1.0.4;08/01/2026 10:53:37
conv_traducteur.md;V1.0.3;28/12/2025 22:48:38
traducteur.py;V1.0.0;28/12/2025 18:41:31
conv_ia_csv_enrichi.md;V1.0.1;28/12/2025 22:50:38
web9.html;V1.0.5;05/01/2026 15:49:36
web9params.html;V1.0.3;30/12/2025 18:55:10
Prompt_scenarios_test.md;V1.0.2;04/01/2026 17:41:51
Prompt_web9_i18n_ia.md;V1.0.0;28/12/2025 22:50:38
conv_web9_i18n_ia.md;V1.0.6;29/12/2025 21:12:08
glossaire_ui_entries.csv;V1.0.0;29/12/2025 00:08:40
Prompt_web9_ia_cohorte.md;V1.0.1;29/12/2025 21:12:08
Audit_web9_complet.md;V1.0.1;29/12/2025 21:11:07
web10.css;V1.0.0;29/12/2025 21:08:07
web10.html;V1.0.7;05/01/2026 15:49:36
web10params.html;V1.0.1;31/12/2025 08:57:44
conv_web10_ia_cohorte.md;V1.0.3;30/12/2025 07:02:18
conv_lazycommentaires.md;V1.0.0;30/12/2025 06:57:17
lazycommentaires.py;V1.0.0;30/12/2025 06:57:17
web11.html;V1.0.3;05/01/2026 15:49:36
web12.html;V1.0.18;05/01/2026 15:49:36
conv_correction_web8_web9_web10.md;V1.0.4;31/12/2025 08:57:44
Prompt_correction_web11_web12.md;V1.0.0;31/12/2025 08:57:44
conv_correction10_11_12.md;V1.0.0;31/12/2025 10:30:19
conv_plusdelogs.md;V1.0.1;31/12/2025 18:11:23
Prompt_correction_logs.md;V1.0.1;31/12/2025 18:11:23
web11params.html;V1.0.1;31/12/2025 18:11:23
web12params.html;V1.0.5;04/01/2026 08:20:35
conv_faketests.md;V1.0.1;02/01/2026 19:30:34
creefakelog.py;V1.0.1;02/01/2026 19:30:34
logrechercheout.csv;V1.0.1;02/01/2026 19:30:34
Prompt_creefakelog.md;V1.0.1;02/01/2026 19:30:34
analyse.py;V1.0.9;07/01/2026 21:05:10
analyse12.html;V1.0.8;04/01/2026 17:20:50
conv_analyse.md;V1.0.9;04/01/2026 17:20:50
patch_web12params.txt;V1.0.0;02/01/2026 02:10:09
conv_web12_2026.md;V1.0.12;04/01/2026 08:22:35
conv_detiabrut.md;V1.0.2;04/01/2026 08:20:35
detiabrut.py;V1.0.3;05/01/2026 20:26:46
conv_vocalweb13.md;V1.0.2;05/01/2026 08:20:12
web13.html;V1.0.2;05/01/2026 15:49:36
conv_Prompt_scenarios_test.md;V1.0.1;04/01/2026 17:41:51
adjectifs_enrichi.csv;V1.0.1;04/01/2026 18:35:54
ages_enrichi.csv;V1.0.1;04/01/2026 18:35:54
conv_detiavsdetall.md;V1.0.3;05/01/2026 14:55:34
detiavsdetall.py;V1.0.1;04/01/2026 18:35:54
tags_enrichi.csv;V1.0.1;04/01/2026 18:35:54
web14.html;V1.0.7;05/01/2026 15:49:36
webanalyse.html;V1.0.3;05/01/2026 14:30:32
webparams.html;V1.0.18;20/01/2026 14:35:31
conv_testsmoteurs.md;V1.0.2;05/01/2026 12:41:28
glossaire_ja_enrichissement.csv;V1.0.0;04/01/2026 18:27:53
glossaire_ajouts.csv;V1.0.0;05/01/2026 08:39:13
associations_semantiques.csv;V1.0.0;05/01/2026 08:42:13
conv_audit1000.md;V1.0.1;05/01/2026 14:56:34
conv_imagedefond.md;V1.0.5;05/01/2026 15:49:36
conv_correctionsanalyse_html.md;V1.0.8;05/01/2026 20:04:44
ajoute_moteur_log.py;V1.0.0;05/01/2026 12:47:28
logrecherche.csv;V1.0.2;05/01/2026 14:40:33
rapport_coherence.md;V1.0.0;05/01/2026 14:55:34
analyse.html;V1.0.3;05/01/2026 20:04:44
Prompt_reconstruction_analyse.md;V1.0.0;05/01/2026 15:35:36
conv_correctionsearch.md;V1.0.0;05/01/2026 15:49:36
conv_evo_web14_et_params.md;V1.0.5;06/01/2026 08:58:24
web15.html;V1.0.1;05/01/2026 19:30:43
web16.html;V1.0.1;05/01/2026 21:16:48
conv_tests0501.md;V1.0.1;05/01/2026 21:14:47
Prompt_detiabruthelp.md;V1.0.0;05/01/2026 20:26:46
conv_standard_ia_deepl.md;V1.0.1;05/01/2026 21:30:49
test_modes_detection.csv;V1.0.1;05/01/2026 21:30:49
web17.html;V1.0.0;05/01/2026 21:44:50
conv_moded_emploi.md;V1.0.5;12/01/2026 14:32:55
Kitview_Search_Mode_Emploi.md;V1.0.0;06/01/2026 08:35:24
web18.html;V1.0.1;06/01/2026 12:54:32
modedemploi.html;V1.0.11;28/01/2026 09:38:14
conv_majillustrations.md;V1.0.0;06/01/2026 20:52:47
illustrations.html;V1.0.2;07/01/2026 10:39:39
conv_look_webparam.md;V1.0.1;06/01/2026 21:18:48
AnglesANBSNASNB.txt;V1.0.0;07/01/2026 10:26:38
conv_promptsdetiabrut.md;V1.0.0;07/01/2026 10:26:38
conv_favori.md;V1.0.0;07/01/2026 10:33:38
Prompt_favori.md;V1.0.0;07/01/2026 10:33:38
conv_bugdetall.md;V1.0.2;07/01/2026 13:54:47
PATCH_detia_age_exact.txt;V1.0.0;07/01/2026 12:57:45
conv_bugtraductions.md;V1.0.2;07/01/2026 14:52:51
traduire.py;V1.0.6;09/01/2026 20:30:29
conv_decalageexemples.md;V1.0.2;07/01/2026 15:19:52
web19.html;V1.0.2;07/01/2026 15:19:53
conv_deploiementV5suite.md;V1.0.3;07/01/2026 21:05:10
index.html;V1.0.8;09/01/2026 20:30:29
fakerecherche.csv;V1.0.0;07/01/2026 21:05:10
conv_frontzahn.md;V1.0.1;08/01/2026 11:23:38
conv_gardefou.md;V1.0.1;09/01/2026 19:21:56
Prompt_recreation_trouve_1_0_18.md;V1.0.0;09/01/2026 09:49:15
conv_detectionlangue.md;V1.0.6;12/01/2026 17:54:36
Fiche_modes_recherche.md;V1.0.0;09/01/2026 19:21:56
Prompt_recreation_search_1_0_28.md;V1.0.0;09/01/2026 19:21:56
batterie.csv;V1.0.0;09/01/2026 23:53:42
batterie.py;V1.0.2;12/01/2026 14:31:55
conv_batterie.md;V1.0.3;12/01/2026 17:49:36
batch_EXEMPLE.exec.csv;V1.0.0;10/01/2026 07:48:58
cerbereall.py;V1.0.0;10/01/2026 07:48:58
cerbere_config_prod_EXEMPLE.csv;V1.0.0;10/01/2026 07:48:58
cerbere_config_tests_EXEMPLE.csv;V1.0.0;10/01/2026 07:48:58
conv_cerbere_generalise.md;V1.0.0;10/01/2026 07:48:58
Prompt_cerbere_generalise.md;V1.0.0;10/01/2026 07:48:58
conv_selecteur_moteur.md;V1.0.0;11/01/2026 16:32:08
web20.html;V1.0.0;11/01/2026 16:32:08
conv_sync.md;V1.0.3;12/01/2026 15:03:57
Prompt_sync.md;V1.0.3;12/01/2026 15:03:57
sync.py;V1.0.3;12/01/2026 15:03:57
userguide.html;V1.0.0;12/01/2026 14:32:56
conv_correctionstraductions.md;V1.0.2;12/01/2026 21:19:43
Prompt_correctionstraductions.md;V1.0.1;12/01/2026 19:06:39
web21.html;V1.0.3;15/01/2026 20:34:25
modedemploi_en.html;V1.0.0;12/01/2026 19:06:39
aide_traduction.html;V1.0.0;12/01/2026 19:54:40
conv_modedemploi.html_new.md;V1.0.3;20/01/2026 14:42:31
conv_suitetraduction_bases.md;V1.0.0;12/01/2026 21:37:43
conv_KITVIEW_API_KEY.md;V1.0.0;13/01/2026 14:59:26
conv_meme.md;V1.0.0;13/01/2026 18:43:31
detmeme.py;V1.0.7;25/01/2026 15:37:57
meme.csv;V1.0.0;13/01/2026 18:43:31
trouveid.py;V1.0.5;21/01/2026 18:12:57
conv_nouveauwebparams.md;V1.0.4;20/01/2026 12:51:27
webparamD.html;V1.0.0;14/01/2026 15:47:08
webparamG.html;V1.0.0;14/01/2026 15:47:08
AoBoin.csv;V1.0.1;14/01/2026 17:23:12
AoBoout.csv;V1.0.1;14/01/2026 17:23:12
conv_Ao_Bo.md;V1.0.1;14/01/2026 17:23:12
conv_meme_ihm.md;V1.0.0;14/01/2026 17:18:11
web22.css;V1.0.5;19/01/2026 18:11:08
web22.html;V1.0.6;19/01/2026 18:11:08
conv_detia_plante.md;V1.0.0;14/01/2026 20:42:02
conv_debugaffichageIAs.md;V1.0.1;15/01/2026 20:34:25
conv_détection.md;V1.0.2;21/01/2026 19:56:58
detection.md;V1.0.1;21/01/2026 16:32:53
conv_memeillustrations.md;V1.0.7;19/01/2026 19:56:15
web23.css;V1.0.2;20/01/2026 09:20:19
web23.html;V1.0.5;20/01/2026 09:20:19
conv_reglages_meme.md;V1.0.5;21/01/2026 18:12:57
communb.csv;V1.0.0;20/01/2026 14:35:31
conv_params_par_defaut.md;V1.0.0;20/01/2026 14:35:31
web24.css;V1.0.3;21/01/2026 12:58:42
web24.html;V1.0.7;23/01/2026 07:30:42
tests_meme_v2.md;V1.0.1;21/01/2026 10:01:35
conv_hautes.md;V1.0.1;21/01/2026 16:00:51
hautes.md;V1.0.1;21/01/2026 16:00:51
Prompt_MD_to_Slides_Ready.md;V1.0.0;21/01/2026 14:05:45
test_meme_cli.cmd;V1.0.0;21/01/2026 15:08:48
conv_modedemploiV5.1.md;V1.0.0;21/01/2026 16:31:52
detection.html;V1.0.0;21/01/2026 19:56:58
md2reveal.py;V1.0.0;21/01/2026 19:56:58
conv_Kitview_Manual_HTML_Conversion.md;V1.0.0;22/01/2026 10:09:33
Prompt_finaliser_partie10.md;V1.0.0;22/01/2026 10:09:33
conv_page10_finmanuel.md;V1.0.3;22/01/2026 15:09:00
kitviewmanuald.html;V1.0.1;22/01/2026 14:19:50
kitviewmanuale.html;V1.0.0;22/01/2026 13:32:48
kitviewmanuali.html;V1.0.0;22/01/2026 13:32:48
kitviewmanuals.html;V1.0.2;23/01/2026 07:52:44
comparatif_standard_debutant.csv;V1.0.0;22/01/2026 14:19:50
extract_texts_for_translation.py;V1.0.0;22/01/2026 15:09:00
generate_translated_html.py;V1.0.0;22/01/2026 15:09:00
kitviewmanuals_en.html;V1.0.0;22/01/2026 15:09:00
translations_kitviewmanuals_fr_en.csv;V1.0.0;22/01/2026 15:09:00
translations_sections1-2_reviewed.csv;V1.0.0;22/01/2026 15:09:00
conv_debug_meme.md;V1.0.0;22/01/2026 19:22:14
test_meme_debug.cmd;V1.0.0;22/01/2026 19:22:14
conv_debogage_guillaume_suite.md;V1.0.0;23/01/2026 07:30:42
adapt.py;V1.0.1;23/01/2026 07:52:44
conv_echec_et_recommence.md;V1.0.2;23/01/2026 12:53:03
extractfr.py;V1.0.1;23/01/2026 07:52:44
gene.py;V1.0.1;23/01/2026 07:52:44
trad.py;V1.0.1;23/01/2026 07:52:44
translations.csv;V1.0.1;23/01/2026 07:52:44
manualhisto.md;V1.0.0;23/01/2026 12:53:03
manualmodedemploi.md;V1.0.0;23/01/2026 12:53:03
conv_refactoring_web25_session3.md;V1.0.1;24/01/2026 13:10:13
i18n.js;V1.0.0;23/01/2026 13:53:07
meme.js;V1.0.0;23/01/2026 13:53:07
web25.html;V1.0.0;23/01/2026 13:53:07
Prompt_tests_meme.md;V1.0.0;24/01/2026 13:10:13
conv_debug_detmeme.md;V1.0.2;25/01/2026 15:39:57
conv_debugmemeihm.md;V1.0.0;25/01/2026 19:05:05
conv_mode_d_emploi_51.md;V1.0.0;28/01/2026 09:38:14
conv_bugportraitia.md;V1.0.0;28/01/2026 14:55:26
Prompt_detia_systeme.md;V1.0.0;28/01/2026 14:55:26
llmsOrtho.csv;V1.0.0;28/01/2026 15:16:27
AUDIT_PAGINATION.md;V1.0.0;28/01/2026 16:39:30
conv_mode_classique.md;V1.0.1;28/01/2026 18:04:20
conv_debug27.md;V1.0.0;30/01/2026 13:48:48
test_pagination.py;V1.0.0;30/01/2026 13:48:48
