#stats2026_tags.csv v1.0.0 - 12/02/2026 03:07:17
canontag;canonadj;effectif
macrognathie;maxillaire;8
occlusion inversée;postérieure;8
classe iii d'angle;;7
occlusion croisée;unilatérale;7
occlusion croisée;antérieure;7
récession gingivale;modérée;7
procheilie;mandibulaire;7
luxation méniscale;unilatérale;7
crowding;modéré;7
fente;palatine;7
malocclusion;modérée;7
résorption radiculaire;modérée;7
résorption radiculaire;sévère;7
rétroalvéolie;maxillaire;7
rétroalvéolie;sévère;7
endoalvéolie;maxillaire;7
ankylose;maxillaire;6
latérodéviation;sévère;6
rétrocheilie;mandibulaire;6
classe ii d'angle;modérée;6
procheilie;modérée;6
classe ii d'angle;division 2;6
luxation méniscale;droite;6
gouttière;invisible;6
latérodéviation;modérée;6
rétroalvéolie;modérée;6
luxation méniscale;gauche;6
protrusion;maxillaire;6
occlusion inversée;sévère;6
occlusion inversée;antérieure;6
canine;mandibulaire;6
avulsion;immédiate;6
agénésie;bilatérale;6
malocclusion;maxillaire;6
ectopie;mandibulaire;6
ddm;sévère;5
ddm;modérée;5
classe ii d'angle;division 1;5
malposition;sévère;5
procheilie;maxillaire;5
gouttière;chirurgicale;5
rétrocheilie;maxillaire;5
fente;labiale;5
rétroalvéolie;mandibulaire;5
occlusion croisée;sévère;5
malocclusion;sévère;5
occlusion inversée;latérale;5
occlusion inversée;modérée;5
malocclusion;mandibulaire;5
ankylose;mandibulaire;4
malposition;mandibulaire;4
avulsion;programmée;4
classe iii d'angle;sévère;4
classe iii d'angle;modérée;4
récession gingivale;mandibulaire;4
malposition;maxillaire;3
malocclusion;droite;3
occlusion croisée;droite;3
canine;maxillaire;3
classe iii d'angle;unilatérale;3
occlusion croisée;latérale;2
occlusion croisée;postérieure;2
malposition;modérée;2
occlusion croisée;bilatérale;2
occlusion croisée;modérée;1
