#stats1600_tags.csv v1.0.0 - 11/02/2026 09:50:04
canontag;canonadj;effectif
dent surnuméraire;mandibulaire;7
classe iii squelettique;sévère;7
macrognathie;maxillaire;7
scanner intra-oral;;6
ddm;mandibulaire;6
avulsion;différée;6
avulsion;totale;6
dtm;gauche;6
dtm;sévère;6
classe ii d'angle;sévère;6
classe ii d'angle;unilatérale;6
procheilie;mandibulaire;6
force orthodontique;modérée;6
rétrocheilie;sévère;6
rétrocheilie;modérée;6
canine;ectopique;6
canine;incluse;6
écarteur;sévère;6
écarteur;modéré;6
édentation;complète;6
maladie parodontale;modérée;6
maladie parodontale;sévère;6
endoalvéolie;modérée;6
endoalvéolie;sévère;6
dtm;bilatéral;6
respiration buccale;sévère;6
respiration buccale;modérée;6
protrusion;maxillaire;6
occlusion inversée;antérieure;6
agénésie;mandibulaire;6
classe iii squelettique;modérée;6
agénésie;latérale;6
ankylose;maxillaire;5
ddm;modérée;5
classe ii d'angle;division 1;5
latérodéviation;sévère;5
malposition;sévère;5
luxation méniscale;unilatérale;5
crowding;modéré;5
gouttière;invisible;5
latérodéviation;modérée;5
rétroalvéolie;sévère;5
endoalvéolie;maxillaire;5
malocclusion;sévère;5
ectopie;mandibulaire;5
luxation méniscale;réductible;5
occlusion croisée;antérieure;4
ddm;sévère;4
rétrocheilie;mandibulaire;4
classe ii d'angle;modérée;4
procheilie;maxillaire;4
procheilie;modérée;4
classe ii d'angle;division 2;4
luxation méniscale;bilatérale;4
gouttière;chirurgicale;4
rétrocheilie;maxillaire;4
fente;palatine;4
malocclusion;modérée;4
rétroalvéolie;modérée;4
occlusion inversée;sévère;4
canine;mandibulaire;4
avulsion;immédiate;4
classe iii d'angle;sévère;4
classe iii d'angle;modérée;4
agénésie;bilatérale;4
malocclusion;maxillaire;4
occlusion inversée;postérieure;4
récession gingivale;mandibulaire;4
ankylose;mandibulaire;3
occlusion croisée;unilatérale;3
malposition;mandibulaire;3
luxation méniscale;droite;3
fente;labiale;3
résorption radiculaire;modérée;3
résorption radiculaire;sévère;3
rétroalvéolie;maxillaire;3
rétroalvéolie;mandibulaire;3
luxation méniscale;gauche;3
avulsion;programmée;3
occlusion inversée;latérale;3
occlusion inversée;modérée;3
classe iii d'angle;unilatérale;3
malocclusion;mandibulaire;3
occlusion croisée;latérale;2
malposition;modérée;2
malposition;maxillaire;2
malocclusion;droite;2
occlusion croisée;sévère;2
canine;maxillaire;2
occlusion croisée;postérieure;1
occlusion croisée;droite;1
