#stats3200_tags.csv v1.0.0 - 13/02/2026 18:56:36
canontag;canonadj;effectif
luxation méniscale;droite;7
occlusion inversée;sévère;7
classe iii d'angle;unilatérale;7
malposition;mandibulaire;6
malposition;modérée;6
malposition;maxillaire;6
occlusion croisée;droite;6
occlusion croisée;sévère;6
occlusion inversée;latérale;6
occlusion inversée;modérée;6
occlusion croisée;bilatérale;6
occlusion croisée;latérale;3
occlusion croisée;modérée;3
occlusion croisée;postérieure;2
occlusion croisée;gauche;2
